List of Banks in Peer Group -- TRST301 Trust Assets in excess of $100 billion

Reporting Period End Date	09/30/2008
Number of Banks in Peer Group	18

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
212465	22826	N	UNION BANK OF CALIFORNIA, NATIONAL ASSOCIATION	SAN FRANCISCO	CA	341	59,324,039	346,194
398668	23472	N	BANK OF NEW YORK MELLON TRUST COMPANY, NATIONAL ASSOCIATION, THE	LOS ANGELES	CA	1	1,729,709	126,050
1444021	32961	NC	BARCLAYS GLOBAL INVESTORS, NATIONAL ASSOCIATION	SAN FRANCISCO	CA	1	1,819,757	634,484
2916963	57047	NC	U.S. BANK TRUST NATIONAL ASSOCIATION	WILMINGTON	DE	1	631,708	2,843
1422980	27591	NC	NORTHERN TRUST INVESTMENTS, NATIONAL ASSOCIATION	CHICAGO	IL	1	411,263	88,654
455534	15407	N	LASALLE BANK NATIONAL ASSOCIATION	CHICAGO	IL	128	68,756,623	144,173
210434	913	SM	NORTHERN TRUST COMPANY, THE	CHICAGO	IL	22	61,306,197	530,332
35301	14	SM	STATE STREET BANK AND TRUST COMPANY	BOSTON	MA	14	140,501,834	1,468,650
1001705	23468	NM	FIDELITY MANAGEMENT TRUST COMPANY	BOSTON	MA	1	161,994	12,659
484422	33869	N	WACHOVIA BANK, NATIONAL ASSOCIATION	CHARLOTTE	NC	3113	662,302,000	-2,925,000
480228	3510	N	BANK OF AMERICA, NATIONAL ASSOCIATION	CHARLOTTE	NC	5578	1,354,152,543	6,202,492
476810	7213	N	CITIBANK, N.A.	LAS VEGAS	NV	1366	1,262,129,333	-1,450,000
541101	639	SM	BANK OF NEW YORK MELLON, THE	NEW YORK	NY	24	156,853,000	961,000
214807	623	SM	DEUTSCHE BANK TRUST COMPANY AMERICAS	NEW YORK	NY	3	40,805,000	85,000
93619	24938	NC	STATE STREET BANK AND TRUST COMPANY, N.A.	NEW YORK	NY	1	26,169	1,471
504713	6548	N	U.S. BANK NATIONAL ASSOCIATION	CINCINNATI	OH	2578	233,876,520	2,869,297
852218	628	N	JPMORGAN CHASE BANK, NATIONAL ASSOCIATION	COLUMBUS	OH	5036	1,367,551,000	6,871,000
451965	3511	N	WELLS FARGO BANK, NATIONAL ASSOCIATION	SIOUX FALLS	SD	3201	488,315,666	4,420,000
