List of Banks in Peer Group -- TRST303 Trust Assets between $1 billion and $10 billion 

Reporting Period End Date	09/30/2006
Number of Banks in Peer Group	139

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
697633	19048	SM	COMPASS BANK	BIRMINGHAM	AL	411	32,653,705	353,755
663245	3890	N	SIMMONS FIRST NATIONAL BANK	PINE BLUFF	AR	37	1,225,965	11,091
1480207	33148	NC	ARVEST TRUST COMPANY, NATIONAL ASSOCIATION	ROGERS	AR	1	2,525	28
2868352	35526	NC	SIMMONS FIRST TRUST COMPANY, N.A.	PINE BLUFF	AR	1	1,462	517
943068	24743	N	NORTHERN TRUST BANK, NATIONAL ASSOCIATION	PHOENIX	AZ	9	1,308,619	15,729
528568	24960	N	HARRIS BANK NATIONAL ASSOCIATION, THE	SCOTTSDALE	AZ	11	471,613	459
596361	26170	NC	CITICORP TRUST, NATIONAL ASSOCIATION	LOS ANGELES	CA	1	109,673	3,213
804963	3514	NM	BANK OF THE WEST	SAN FRANCISCO	CA	654	55,217,910	433,361
974866	23011	NM	FIRST REGIONAL BANK	LOS ANGELES	CA	8	1,919,814	34,173
785062	18169	N	PACIFIC CAPITAL BANK, NATIONAL ASSOCIATION	SANTA BARBARA	CA	47	7,116,514	85,667
933966	21716	NM	CITIZENS BUSINESS BANK	ONTARIO	CA	40	5,713,681	58,243
936462	1768	NM	MECHANICS BANK, THE	RICHMOND	CA	31	2,665,129	19,721
828651	19220	N	AMERICAN NATIONAL BANK	DENVER	CO	32	1,833,760	23,328
3015939	57295	NC	AMG NATIONAL TRUST BANK	ENGLEWOOD	CO	1	11,540	1,804
1977248	33639	NM	TRUST COMPANY OF AMERICA	CENTENNIAL	CO	1	254,225	3,472
658559	1769	N	COLORADO STATE BANK AND TRUST, N.A.	DENVER	CO	5	812,086	209
552451	14372	N	FIRST NATIONAL BANK	FORT COLLINS	CO	9	1,344,931	8,692
761806	18221	N	WEBSTER BANK, NATIONAL ASSOCIATION	WATERBURY	CT	159	17,677,644	108,386
488318	24867	NM	BANK OF NEW YORK (DELAWARE), THE	NEWARK	DE	1	552,905	13,092
83311	679	NM	PNC BANK, DELAWARE	WILMINGTON	DE	35	2,749,493	26,883
304913	26392	NM	DEUTSCHE BANK TRUST COMPANY DELAWARE	WILMINGTON	DE	1	711,290	8,766
2158389	33875	NM	CHRISTIANA BANK AND TRUST COMPANY, THE	GREENVILLE	DE	2	162,266	1,808
2531991	34465	NC	DELAWARE TRUST COMPANY, NATIONAL ASSOCIATION	WILMINGTON	DE	2	379,741	13,140
3184460	57628	NC	MORGAN STANLEY TRUST NATIONAL ASSOCIATION	WILMINGTON	DE	1	8,989	-2,688
3310287	58011	NC	BESSEMER TRUST COMPANY OF DELAWARE, NATIONAL ASSOCIATION	WILMINGTON	DE	1	4,382	-534
3398306	58335	NC	CITIGROUP TRUST - DELAWARE, NATIONAL ASSOCIATION	WILMINGTON	DE	1	27,408	5,382
2557151	34564	NC	MELLON PRIVATE TRUST COMPANY, NATIONAL ASSOCIATION	MIAMI	FL	1	55,545	710
449038	25677	NC	CITICORP TRUST, NATIONAL ASSOCIATION	PALM BEACH	FL	1	38,610	3,117
395238	873	NM	COLUMBUS BANK AND TRUST COMPANY	COLUMBUS	GA	18	6,033,558	185,903
2262718	33962	NC	SYNOVUS TRUST COMPANY, NATIONAL ASSOCIATION	COLUMBUS	GA	3	28,965	222
980661	17985	NM	FIRST HAWAIIAN BANK	HONOLULU	HI	57	11,586,628	150,359
701062	17308	NM	CENTRAL PACIFIC BANK	HONOLULU	HI	38	5,240,736	64,922
642549	15219	NM	DUBUQUE BANK AND TRUST COMPANY	DUBUQUE	IA	8	824,566	9,077
811046	953	N	BANKERS TRUST COMPANY, NATIONAL ASSOCIATION	DES MOINES	IA	10	1,813,894	10,964
656733	3628	N	MB FINANCIAL BANK, NATIONAL ASSOCIATION	CHICAGO	IL	40	5,456,338	49,198
412135	22599	SM	COLE TAYLOR BANK	CHICAGO	IL	12	3,264,424	30,072
251736	10842	NM	MAIN STREET BANK & TRUST	CHAMPAIGN	IL	22	1,564,771	13,142
1007846	3709	SM	FIRST MIDWEST BANK	ITASCA	IL	98	8,110,973	98,301
847643	18498	NM	OAK BROOK BANK	OAK BROOK	IL	22	2,408,538	2,650
850036	3657	NM	FIRST AMERICAN BANK	CARPENTERSVILLE	IL	45	2,341,723	14,581
936136	3603	N	OLD SECOND NATIONAL BANK OF AURORA, THE	AURORA	IL	18	1,631,832	14,828
899736	17598	NM	SOY CAPITAL BANK AND TRUST COMPANY	DECATUR	IL	9	278,789	2,385
1842065	33306	NM	PRIVATEBANK AND TRUST COMPANY, THE	CHICAGO	IL	8	2,696,753	30,668
1906172	33453	NC	AMCORE INVESTMENT GROUP, N.A.	ROCKFORD	IL	1	13,569	197
3349072	58118	NC	ATLANTIC TRUST, NATIONAL ASSOCIATION	CHICAGO	IL	3	139,756	609
3157697	57573	NC	FIRST MERCHANTS TRUST COMPANY, NATIONAL ASSOCIATION	MUNCIE	IN	1	24,882	866
2641827	34732	NC	NEW COVENANT TRUST COMPANY, NATIONAL ASSOCIATION	JEFFERSONVILLE	IN	1	5,561	618
1459575	33001	NC	AMERICAN NATIONAL TRUST AND INVESTMENT MANAGEMENT COMPANY	MUNCIE	IN	4	11,291	1,735
991340	9087	SM	1ST SOURCE BANK	SOUTH BEND	IN	65	3,403,039	29,804
23241	4392	N	INTEGRA BANK NATIONAL ASSOCIATION	EVANSVILLE	IN	73	2,719,440	25,170
686655	11772	NM	CENTRAL BANK AND TRUST CO.	HUTCHINSON	KS	5	237,858	2,143
557858	4799	N	INTRUST BANK, NATIONAL ASSOCIATION	WICHITA	KS	43	3,073,301	37,505
317342	258	NM	STOCK YARDS BANK & TRUST COMPANY	LOUISVILLE	KY	25	1,337,362	18,442
2924128	35534	NC	UNIFIED TRUST COMPANY, NATIONAL ASSOCIATION	LEXINGTON	KY	1	4,857	946
1464122	33029	NM	HANCOCK BANK OF LOUISIANA	BATON ROUGE	LA	48	2,320,772	29,744
873138	18538	N	WHITNEY NATIONAL BANK	NEW ORLEANS	LA	148	10,194,290	108,335
112837	4297	N	CAPITAL ONE, NATIONAL ASSOCIATION	NEW ORLEANS	LA	304	29,979,290	167,151
128904	32773	NM	EASTERN BANK	BOSTON	MA	71	6,482,159	54,066
736206	8152	NM	CAMBRIDGE TRUST COMPANY	CAMBRIDGE	MA	9	747,386	6,555
972406	18342	NM	BOSTON TRUST & INVESTMENT MANAGEMENT COMPANY	BOSTON	MA	1	41,616	5,301
964700	24811	NM	BOSTON PRIVATE BANK & TRUST COMPANY	BOSTON	MA	8	2,182,301	14,148
497404	18409	N	TD BANKNORTH, NATIONAL ASSOCIATION	PORTLAND	ME	583	39,632,892	298,729
542649	1003	SM	CHEMICAL BANK	MIDLAND	MI	119	3,754,273	35,824
772446	1596	N	COMERICA BANK & TRUST, NATIONAL ASSOCIATION	ANN ARBOR	MI	1	14,595	2,593
3095641	57422	NC	CITIZENS BANK WEALTH MANAGEMENT, NATIONAL ASSOCIATION	FLINT	MI	1	11,000	1,400
2525860	34096	NC	STANTON TRUST COMPANY, NATIONAL ASSOCIATION	PLYMOUTH	MN	1	3,905	434
1160853	27120	NC	BREMER TRUST, NATIONAL ASSOCIATION	SAINT CLOUD	MN	2	6,274	1,345
144856	10159	NM	FIRST STATE BANK AND TRUST	BAYPORT	MN	3	188,572	1,290
169653	12229	SM	FIRST BANK	CREVE COEUR	MO	184	9,451,218	96,087
2337335	34065	NC	UMB BANK & TRUST, NATIONAL ASSOCIATION	KANSAS CITY	MO	1	3,000	0
870539	340	NM	PEOPLES BANK, BILOXI, MISSISSIPPI, THE	BILOXI	MS	16	887,940	7,807
342634	4988	N	TRUSTMARK NATIONAL BANK	JACKSON	MS	135	8,149,861	87,754
606046	11813	NM	BANCORPSOUTH BANK	TUPELO	MS	250	11,802,684	104,469
463735	12441	NM	HANCOCK BANK	GULFPORT	MS	46	3,649,341	50,180
659855	1105	SM	FIRST INTERSTATE BANK	BILLINGS	MT	48	4,652,274	50,673
491224	11063	NM	FIRST-CITIZENS BANK & TRUST COMPANY	RALEIGH	NC	329	12,992,397	104,197
852320	9846	NM	BRANCH BANKING AND TRUST COMPANY	WINSTON-SALEM	NC	920	83,628,109	930,723
929352	19581	NM	STATE BANK & TRUST	FARGO	ND	12	1,508,100	11,203
933256	3931	N	ALERUS FINANCIAL, NATIONAL ASSOCIATION	GRAND FORKS	ND	13	671,318	8,332
527954	5452	N	FIRST NATIONAL BANK OF OMAHA	OMAHA	NE	29	6,643,702	61,825
450856	13421	NM	UNION BANK AND TRUST COMPANY	LINCOLN	NE	33	1,416,813	13,952
62101	6214	SI	CITIZENS BANK NEW HAMPSHIRE	MANCHESTER	NH	79	9,726,939	109,873
7009	20015	NM	BESSEMER TRUST COMPANY	WOODBRIDGE	NJ	1	473,670	10,135
229801	9396	N	VALLEY NATIONAL BANK	PASSAIC	NJ	167	12,253,147	132,456
931319	25809	NM	CUSTODIAL TRUST COMPANY	PRINCETON	NJ	1	640,523	25,806
2864729	57388	NC	UBS TRUST COMPANY, NATIONAL ASSOCIATION	WEEHAWKEN	NJ	1	11,742	-443
2727673	34992	N	BANK OF ALBUQUERQUE, NATIONAL ASSOCIATION	ALBUQUERQUE	NM	20	1,247,024	9,315
131360	26665	NM	FIRST REPUBLIC BANK	LAS VEGAS	NV	36	9,897,428	51,884
202907	6989	N	COMMUNITY BANK, NATIONAL ASSOCIATION	CANTON	NY	123	4,178,201	32,858
65513	26633	N	DELTA NATIONAL BANK AND TRUST COMPANY	NEW YORK	NY	2	278,179	2,042
229913	21843	SM	MIZUHO CORPORATE BANK (USA)	NEW YORK	NY	1	3,112,768	32,109
433608	609	NM	TOMPKINS TRUST COMPANY	ITHACA	NY	14	1,103,002	11,682
332907	15985	NM	NORTH FORK BANK	MATTITUCK	NY	348	57,748,979	678,081
702117	7230	N	NBT BANK, NATIONAL ASSOCIATION	NORWICH	NY	118	4,844,247	41,660
2976042	57204	NC	LEHMAN BROTHERS TRUST COMPANY, NATIONAL ASSOCIATION	NEW YORK	NY	1	30,220	5,790
3066025	57337	NC	GOLDMAN SACHS TRUST COMPANY, THE NATIONAL ASSOCIATION	NEW YORK	NY	1	31,199	-951
968605	19553	NM	BANK OF TOKYO-MITSUBISHI UFJ TRUST COMPANY	NEW YORK	NY	1	4,925,554	39,502
2866385	35403	N	SKY TRUST, NATIONAL ASSOCIATION	PEPPER PIKE	OH	1	12,096	2,549
