List of Banks in Peer Group -- TRST305 Trust Assets less than $250 million 

Reporting Period End Date	12/31/2021
Number of Banks in Peer Group	665

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
60330	22537	NM	PEOPLES BANK OF ALABAMA	CULLMAN	AL	26	1,146,389	16,766
134437	5598	NM	TROY BANK & TRUST COMPANY	TROY	AL	14	1,261,105	14,163
257233	2832	NM	FIRST BANK OF ALABAMA	TALLADEGA	AL	10	807,701	11,550
430036	39	NM	ROBERTSON BANKING COMPANY	DEMOPOLIS	AL	7	393,416	6,163
501132	16175	NM	WEST ALABAMA BANK & TRUST	REFORM	AL	13	764,388	6,236
670430	2779	N	FIRST NATIONAL BANK AND TRUST	ATMORE	AL	3	203,013	3,526
644842	8735	NM	MERCHANTS AND FARMERS BANK	DUMAS	AR	3	183,885	1,762
748441	81	SM	WARREN BANK AND TRUST COMPANY	WARREN	AR	2	148,386	683
799948	3896	N	FIRST NATIONAL BANK OF LAWRENCE COUNTY AT WALNUT RIDGE, THE	WALNUT RIDGE	AR	6	272,574	2,834
843542	94	SM	FIRST STATE BANK OF WARREN	WARREN	AR	3	122,429	2,017
852544	1528	SM	SOUTHERN BANCORP BANK	ARKADELPHIA	AR	42	1,917,316	18,432
855143	15035	NM	RIVERWIND BANK	AUGUSTA	AR	3	129,590	788
856748	17211	SM	CITIZENS BANK, THE	BATESVILLE	AR	18	1,168,042	10,932
864846	3854	N	FIRST NATIONAL BANK OF NORTH ARKANSAS	BERRYVILLE	AR	10	261,180	2,775
897648	11242	NM	MCGEHEE BANK	MCGEHEE	AR	1	145,802	2,607
913146	17431	NM	STONE BANK	MOUNTAIN VIEW	AR	6	548,508	9,218
251745	3863	N	FIRST NATIONAL BANK OF EASTERN ARKANSAS	FORREST CITY	AR	14	531,877	4,831
314444	1028	SM	FBT BANK & MORTGAGE	FORDYCE	AR	4	206,133	479
325141	1296	NM	FARMERS BANK	GREENWOOD	AR	11	257,789	2,480
78241	21379	SM	FIRST NATURALSTATE BANK	MCGEHEE	AR	3	82,232	1,251
99143	16464	NM	MERCHANTS & PLANTERS BANK	NEWPORT	AR	8	352,325	2,048
48374	28905	SM	FIRST FINANCIAL BANK	EL DORADO	AR	17	1,550,781	27,363
49241	19371	N	RELYANCE BANK, NATIONAL ASSOCIATION	PINE BLUFF	AR	19	1,069,116	11,185
12946	1291	SM	FARMERS BANK & TRUST COMPANY	MAGNOLIA	AR	15	1,934,089	28,568
22048	1753	NM	UNION BANK & TRUST COMPANY	MONTICELLO	AR	3	270,971	6,059
23643	90	SM	COMMERCIAL BANK & TRUST COMPANY	MONTICELLO	AR	1	244,048	4,865
29476	31711	NM	RIVERBANK	POCAHONTAS	AR	3	94,594	1,706
192147	8738	SM	CITIZENS BANK & TRUST COMPANY	VAN BUREN	AR	6	507,067	6,766
989347	13821	NM	CROSS COUNTY BANK	WYNNE	AR	9	315,022	5,152
2596646	34533	NM	FIRST COMMUNITY BANK	BATESVILLE	AR	29	1,905,708	23,430
3028902	57098	NM	PREMIER VALLEY BANK	FRESNO	CA	6	1,118,186	13,729
3918898	58978	N	CIT BANK, NATIONAL ASSOCIATION	PASADENA	CA	80	49,895,150	884,742
431172	32172	SM	PACIFIC PREMIER BANK	IRVINE	CA	61	20,461,904	360,645
930965	18618	NM	MANUFACTURERS BANK	LOS ANGELES	CA	9	3,918,602	1,156
621151	10407	NM	FARMERS STATE BANK OF BRUSH, THE	BRUSH	CO	2	118,605	1,250
480059	19381	NM	PARK STATE BANK & TRUST	WOODLAND PARK	CO	1	135,771	1,563
285151	1141	SM	COLORADO BANK AND TRUST COMPANY OF LA JUNTA, THE	LA JUNTA	CO	2	184,335	3,351
191355	14730	NM	FRONTIER BANK	LAMAR	CO	7	373,059	7,124
106452	12594	NM	PUEBLO BANK AND TRUST COMPANY, THE	PUEBLO	CO	10	606,273	10,198
311603	18200	SI	DIME BANK	NORWICH	CT	14	1,062,498	7,201
882701	18213	SI	FAIRFIELD COUNTY BANK	RIDGEFIELD	CT	16	1,863,155	15,196
327435	15465	NM	UNITED SOUTHERN BANK	UMATILLA	FL	12	771,657	7,564
297631	21163	NM	CREWS BANK & TRUST	ARCADIA	FL	3	207,637	1,347
1186965	27205	NM	ENGLEWOOD BANK & TRUST	ENGLEWOOD	FL	4	484,311	5,302
960935	2138	N	QUEENSBOROUGH NATIONAL BANK & TRUST COMPANY	LOUISVILLE	GA	24	1,809,588	20,438
3445901	58289	NM	RIVER CITY BANK	ROME	GA	1	206,359	1,778
944337	147	NM	CENTURY BANK & TRUST	MILLEDGEVILLE	GA	2	341,300	4,042
921039	16858	NM	FIRST AMERICAN BANK AND TRUST COMPANY	ATHENS	GA	7	822,787	7,840
563233	169	N	FIRST NATIONAL BANK OF GRIFFIN	GRIFFIN	GA	8	365,701	1,729
561145	15321	NM	FIRST STATE BANK	WEBSTER CITY	IA	7	582,675	7,741
544447	12128	NM	CITIZENS SAVINGS BANK	SPILLVILLE	IA	3	126,688	1,780
546544	15555	SM	CENTRAL BANK	STORM LAKE	IA	19	1,559,800	22,537
550448	13715	NM	STATE BANK, THE	SPIRIT LAKE	IA	2	79,411	250
528241	15405	NM	HOUGHTON STATE BANK	RED OAK	IA	5	210,031	2,802
534242	13931	NM	STATE BANK OF SCHALLER	SCHALLER	IA	1	38,875	654
536349	1553	NM	SHELBY COUNTY STATE BANK	HARLAN	IA	8	331,343	3,548
537243	5797	NM	FARMERS STATE BANK	NORTHWOOD	IA	8	218,411	2,676
621245	1862	NM	WAYLAND STATE BANK	MOUNT PLEASANT	IA	3	135,557	1,186
616148	13853	N	FIRST NATIONAL BANK IN FAIRFIELD	FAIRFIELD	IA	1	158,698	268
624246	955	SM	CONNECTION BANK	FORT MADISON	IA	5	376,822	4,323
624648	18284	NM	FARMERS SAVINGS BANK	FOSTORIA	IA	2	161,861	1,313
566243	956	SM	GLENWOOD STATE BANK	GLENWOOD	IA	3	281,996	652
585749	9100	NM	PILOT GROVE SAVINGS BANK	PILOT GROVE	IA	12	761,429	12,768
588348	13735	NM	SAVINGS BANK	PRIMGHAR	IA	3	239,734	3,998
589943	14207	NM	LINCOLN SAVINGS BANK	REINBECK	IA	17	1,445,949	16,989
604547	14809	NM	HEARTLAND BANK	SOMERS	IA	5	191,669	4,133
645540	5796	NM	EARLHAM SAVINGS BANK	WEST DES MOINES	IA	9	367,604	1,243
646743	14633	NM	COMMUNITY SAVINGS BANK	EDGEWOOD	IA	10	507,908	6,464
639549	19716	NM	FIRST CENTRAL STATE BANK	DE WITT	IA	6	689,488	7,869
640442	8752	NM	FIRST TRUST AND SAVINGS BANK	WHEATLAND	IA	7	233,550	2,918
647245	5817	NM	HARDIN COUNTY SAVINGS BANK	ELDORA	IA	2	268,654	3,527
649342	18400	NM	IOWA TRUST & SAVINGS BANK	EMMETSBURG	IA	3	382,513	5,472
651149	16151	SM	STATE BANK	SPENCER	IA	3	79,443	687
652043	11767	NM	FREEDOMBANK	ELKADER	IA	5	471,832	3,952
653947	14867	NM	HOME STATE BANK	JEFFERSON	IA	1	309,169	4,583
668147	14705	NM	DEWITT BANK & TRUST CO.	DE WITT	IA	2	224,242	3,544
678744	1550	SM	CENTRAL STATE BANK	ELKADER	IA	6	389,844	5,685
665146	8761	NM	KERNDT BROTHERS SAVINGS BANK	LANSING	IA	5	334,008	1,563
644646	10121	NM	LIBERTY TRUST & SAVINGS BANK	DURANT	IA	4	172,340	1,908
674849	253	NM	LUANA SAVINGS BANK	LUANA	IA	6	1,950,396	23,425
675042	14649	NM	COMMUNITY BANK	DUNLAP	IA	7	110,968	943
675341	10120	NM	AMERICAN TRUST & SAVINGS BANK	LOWDEN	IA	1	37,645	-15
682648	8083	NM	FAIRFAX STATE SAVINGS BANK	FAIRFAX	IA	3	222,540	2,165
683449	17903	SM	MAQUOKETA STATE BANK	MAQUOKETA	IA	4	402,075	4,702
724744	14079	SM	GNB BANK	GRUNDY CENTER	IA	9	603,532	7,002
728948	4465	N	MIDSTATES BANK, NATIONAL ASSOCIATION	COUNCIL BLUFFS	IA	9	625,671	7,250
734248	950	NM	IOWA STATE BANK	ALGONA	IA	4	396,070	4,758
737548	17282	NM	BANKIOWA	CEDAR RAPIDS	IA	12	780,320	8,082
738040	958	NM	UNITED BANK OF IOWA	IDA GROVE	IA	34	1,960,587	33,054
943143	251	NM	FIRST SECURITY BANK	MAPLETON	IA	2	79,586	1,092
939249	14382	NM	FIDELITY BANK & TRUST	DUBUQUE	IA	32	1,611,740	17,097
882242	15334	SM	ROLLING HILLS BANK & TRUST	ATLANTIC	IA	13	381,540	4,308
882541	12717	NM	BRIDGE COMMUNITY BANK	MOUNT VERNON	IA	3	136,199	1,279
884648	13656	NM	UNITED COMMUNITY BANK	MILFORD	IA	5	254,493	2,976
863746	9298	SM	FARMERS & MERCHANTS SAVINGS BANK	MANCHESTER	IA	7	650,051	10,157
900146	18443	SM	CUSB BANK	CRESCO	IA	5	550,923	10,414
888141	13737	NM	FARMERS & MERCHANTS BANK & TRUST	BURLINGTON	IA	2	246,344	962
890649	10494	NM	MOUNT VERNON BANK AND TRUST COMPANY	MOUNT VERNON	IA	1	162,287	2,429
893248	961	N	FIRST NATIONAL BANK OF MUSCATINE	MUSCATINE	IA	3	369,528	3,560
894544	1852	NM	FIRST SECURITY BANK AND TRUST COMPANY	CHARLES CITY	IA	13	583,621	6,805
865142	15947	NM	IOWA STATE BANK	CLARKSVILLE	IA	3	424,689	5,320
