List of Banks in Peer Group -- TXCOM All Insured Commercial Banks in Texas

Reporting Period End Date	06/30/2022
Number of Banks in Peer Group	370

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
1669	3384	N	LIBERTY NATIONAL BANK IN PARIS, THE	PARIS	TX	2	384,774	2,474
2161	23597	N	LAMAR NATIONAL BANK	PARIS	TX	5	356,602	656
8462	3388	N	PERRYTON NATIONAL BANK, THE	PERRYTON	TX	1	180,762	1,144
18050	3091	N	FIRST NATIONAL BANK OF BASTROP, THE	BASTROP	TX	6	960,381	7,988
24668	3402	N	BTH BANK NATIONAL ASSOCIATION	QUITMAN	TX	13	1,946,535	16,730
26765	3405	SM	VANTAGE BANK TEXAS	SAN ANTONIO	TX	23	3,233,815	27,778
30052	26658	NM	AMISTAD BANK	DEL RIO	TX	1	52,191	366
31255	17612	SM	CENTRAL BANK	HOUSTON	TX	4	937,226	6,700
31657	11904	NM	FIRST STATE BANK OF BEN WHEELER, TEXAS	BEN WHEELER	TX	4	197,672	1,514
32766	21693	NM	LAKESIDE BANK	ROCKWALL	TX	1	204,821	709
33268	1213	NM	ROSCOE STATE BANK, THE	ROSCOE	TX	3	225,204	884
42354	3110	N	COMMERCIAL NATIONAL BANK OF BRADY, THE	BRADY	TX	3	225,335	1,955
43959	18155	NM	BRIDGE CITY STATE BANK	BRIDGE CITY	TX	3	220,074	912
45560	16470	NM	JEFFERSON BANK	SAN ANTONIO	TX	12	2,824,092	15,318
49858	26727	NM	BANK OF SOUTH TEXAS	MCALLEN	TX	5	143,192	1,219
53051	11916	NM	BUCKHOLTS STATE BANK, THE	BUCKHOLTS	TX	3	107,378	1,124
54656	12501	NM	CITIZENS STATE BANK	BUFFALO	TX	10	1,372,736	8,974
56351	3250	N	VERABANK, NATIONAL ASSOCIATION	HENDERSON	TX	38	3,804,150	20,000
59352	3127	N	CITIZENS NATIONAL BANK	CAMERON	TX	9	599,419	3,402
60143	983	SM	COMERICA BANK	DALLAS	TX	430	90,996,500	438,000
77253	15345	N	TXN BANK, NATIONAL ASSOCIATION	HONDO	TX	9	627,401	3,275
78157	26653	NM	BANDERA BANK	BANDERA	TX	1	99,835	393
88352	16895	NM	FIRST STATE BANK OF BEDIAS	BEDIAS	TX	2	206,377	1,689
89957	3098	N	CENDERA BANK, N.A.	BELLS	TX	2	147,081	-237
91754	3099	N	FIRST NATIONAL BANK OF BELLVILLE, THE	BELLVILLE	TX	3	872,833	6,971
