List of Banks in Peer Group -- TXSVG All Insured Savings Banks in Texas

Reporting Period End Date	06/30/2022
Number of Banks in Peer Group	21

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
971070	29208	SI	DALHART FEDERAL SAVINGS & LOAN ASSOCIATION, SSB	DALHART	TX	2	129,914	594
849076	29241	SI	HENDERSON FEDERAL SAVINGS BANK	HENDERSON	TX	1	121,193	355
279	28868	SI	MINEOLA COMMUNITY BANK, SSB	MINEOLA	TX	6	369,950	885
3347911	58082	SI	AUSTIN CAPITAL BANK SSB	AUSTIN	TX	1	415,234	1,479
703552	3256	SI	HORIZON BANK, SSB	AUSTIN	TX	5	2,325,365	19,548
898579	27678	SI	FIRST FEDERAL COMMUNITY BANK, SSB	PARIS	TX	4	542,421	1,896
766164	23498	SI	TBK BANK, SSB	DALLAS	TX	63	5,852,022	73,605
839974	29206	SI	GRAHAM SAVINGS AND LOAN, SSB	GRAHAM	TX	1	151,084	697
1429028	34456	SI	KEYSTONE BANK, SSB	AUSTIN	TX	3	579,698	2,412
3597677	58560	SI	PROVIDENCE BANK OF TEXAS, SSB	SOUTHLAKE	TX	2	197,887	824
171768	12299	SI	SOUTHSTAR BANK, S.S.B.	MOULTON	TX	16	1,174,772	7,626
729178	31905	SI	CYPRESS BANK, SSB	PITTSBURG	TX	4	215,401	725
539872	28515	SI	TRUSTTEXAS BANK, S.S.B.	CUERO	TX	6	408,917	780
908861	11178	SI	TRANSPECOS BANKS, SSB	PECOS	TX	3	381,208	1,414
675079	31936	SI	FAYETTE SAVINGS BANK, SSB	LA GRANGE	TX	4	325,521	2,405
552974	32135	SI	SHELBY SAVINGS BANK, SSB	CENTER	TX	5	385,164	1,327
660879	32018	SI	ANGELINA SAVINGS BANK, SSB	LUFKIN	TX	1	79,707	164
2568063	34415	SI	FIRST COMMAND BANK	FORT WORTH	TX	1	1,066,103	7,769
14977	30291	SI	FIRST FEDERAL BANK LITTLEFIELD, TEXAS, SSB	LITTLEFIELD	TX	2	53,176	126
339072	31361	SI	COLONIAL SAVINGS, FA	FORT WORTH	TX	7	1,114,798	18,566
619877	32188	SI	USAA FEDERAL SAVINGS BANK	SAN ANTONIO	TX	1	116,167,000	229,000
