List of Banks in Peer Group -- UTCOM All Insured Commercial Banks in Utah

Reporting Period End Date	12/31/2008
Number of Banks in Peer Group	59

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
178851	24922	NM	GRAND VALLEY BANK	HEBER CITY	UT	7	260,321	2,663
207872	22738	SM	FIRST UTAH BANK	SALT LAKE CITY	UT	7	357,390	-11,061
243375	22653	NM	BONNEVILLE BANK	PROVO	UT	1	34,901	233
256179	22514	SM	UTAH INDEPENDENT BANK	SALINA	UT	3	55,077	1,005
276579	2270	N	ZIONS FIRST NATIONAL BANK	SALT LAKE CITY	UT	143	19,409,785	106,680
406974	22578	NM	BRIGHTON BANK	SALT LAKE CITY	UT	5	153,752	6,409
460770	26798	NM	HOME SAVINGS BANK	SALT LAKE CITY	UT	3	144,661	1,164
593771	26816	NM	LIBERTY BANK, INC.	SALT LAKE CITY	UT	1	18,918	-172
617275	21448	NM	HOLLADAY BANK AND TRUST	SALT LAKE CITY	UT	1	61,448	140
622774	9204	NM	CENTRAL BANK	PROVO	UT	10	624,619	7,841
656470	17964	NM	STATE BANK OF SOUTHERN UTAH	CEDAR CITY	UT	15	602,186	7,724
673178	2263	N	FIRST NATIONAL BANK OF MORGAN, THE	MORGAN	UT	2	97,310	598
688079	13718	N	WELLS FARGO BANK NORTHWEST, NATIONAL ASSOCIATION	OGDEN	UT	1	15,266,000	-35,000
745570	2260	N	FIRST NATIONAL BANK OF LAYTON, THE	LAYTON	UT	7	283,537	74
805670	1250	NM	GUNNISON VALLEY BANK	GUNNISON	UT	1	76,278	1,336
868376	1252	SM	BARNES BANKING COMPANY	KAYSVILLE	UT	10	866,746	-21,991
869971	9208	NM	LEWISTON STATE BANK	LEWISTON	UT	3	222,997	2,606
933975	17159	SM	BANK OF UTAH	OGDEN	UT	13	698,934	11,221
984379	12773	NM	BANK OF AMERICAN FORK	AMERICAN FORK	UT	12	879,907	4,653
995076	22134	SM	CACHE VALLEY BANK	LOGAN	UT	2	189,968	2,695
1225800	27374	NM	MERRILL LYNCH BANK USA	SALT LAKE CITY	UT	2	62,658,633	-3,876,248
1456501	32992	N	MORGAN STANLEY BANK, N.A.	SALT LAKE CITY	UT	1	40,590,250	-529,000
1914421	33542	NM	WESTERN COMMUNITY BANK	OREM	UT	3	126,936	-805
1916751	33535	NM	ADVANTA BANK CORP.	DRAPER	UT	1	2,721,509	6,320
2017570	33778	NM	GE CAPITAL FINANCIAL INC.	HOLLADAY	UT	1	8,115,799	321,570
2068107	33823	NM	CAPITAL COMMUNITY BANK	PROVO	UT	4	129,686	-2,030
2488956	34219	NM	VILLAGE BANK, THE	SAINT GEORGE	UT	4	270,237	1,886
2493697	34232	NM	AMERICAN BANK OF COMMERCE	PROVO	UT	2	46,728	157
2560526	34430	NM	CENTENNIAL BANK	OGDEN	UT	5	214,593	-3,743
2576134	34404	NM	WEBBANK	SALT LAKE CITY	UT	1	39,291	-1,709
2649177	34599	NM	PITNEY BOWES BANK INC., THE	SALT LAKE CITY	UT	1	735,965	100,221
2700984	34697	NM	WRIGHT EXPRESS FINANCIAL SERVICES CORPORATION	SALT LAKE CITY	UT	1	1,209,067	81,422
2736219	34781	NM	TRANSPORTATION ALLIANCE BANK, INC.	OGDEN	UT	2	568,039	2,613
2850722	35141	NM	BMW BANK OF NORTH AMERICA	SALT LAKE CITY	UT	1	3,068,614	35,921
2854113	35260	NM	REPUBLIC BANK, THE	BOUNTIFUL	UT	1	506,072	10,866
2880019	35323	NM	UTAH COMMUNITY BANK	SANDY	UT	1	67,660	-1,805
2908575	35495	NM	PROFICIO BANK	SALT LAKE CITY	UT	1	133,225	-5,286
2913346	35461	NM	AMERICA WEST BANK, L.C.	LAYTON	UT	3	298,742	-11,179
2947556	35533	NM	FIRST ELECTRONIC BANK	SANDY	UT	1	14,626	471
2950677	35575	NM	CIT BANK	SALT LAKE CITY	UT	1	3,012,042	15,771
2998576	57056	NM	CELTIC BANK CORPORATION	SALT LAKE CITY	UT	1	149,607	1,250
3008306	57087	NM	SUNFIRST BANK	SAINT GEORGE	UT	4	241,047	198
3121072	57293	NM	ENERBANK USA	SALT LAKE CITY	UT	1	184,205	889
3181197	57529	NM	CAPMARK BANK	MIDVALE	UT	1	8,212,985	-23,079
3202702	57408	NM	OPTUMHEALTH BANK, INC.	WEST VALLEY CITY	UT	1	771,446	19,526
3212149	57565	NM	UBS BANK USA	SALT LAKE CITY	UT	1	27,639,376	252,006
3220863	57571	NM	CONTINENTAL BANK	SALT LAKE CITY	UT	1	78,700	2,065
3228908	57449	NM	MEDALLION BANK	SALT LAKE CITY	UT	1	388,875	4,189
3284070	57803	NM	GMAC BANK	MIDVALE	UT	1	32,034,066	-112,399
3296149	57769	NM	TARGET BANK	SALT LAKE CITY	UT	1	38,631	-229
3309571	57920	NM	PRIME ALLIANCE BANK	WOODS CROSS	UT	1	128,885	-323
3370366	57962	NM	ADB BANK	CEDAR CITY	UT	1	51,874	71
