List of Banks in Peer Group -- VACOM All Insured Commercial Banks in Virginia

Reporting Period End Date	12/31/2006
Number of Banks in Peer Group	109

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
31826	6863	N	POWELL VALLEY NATIONAL BANK	JONESVILLE	VA	4	231,118	2,979
34425	11200	SM	BANK OF LANCASTER	KILMARNOCK	VA	7	304,610	2,729
41629	6913	SM	PIONEER BANK	STANLEY	VA	7	145,844	1,435
90328	6861	N	GRAYSON NATIONAL BANK, THE	INDEPENDENCE	VA	9	305,450	3,201
94522	20484	SM	BENCHMARK COMMUNITY BANK	KENBRIDGE	VA	10	307,233	3,856
105222	22331	SM	VIRGINIA COMMUNITY BANK	LOUISA	VA	7	171,700	2,340
186221	6892	N	OLD POINT NATIONAL BANK OF PHOEBUS, THE	HAMPTON	VA	20	788,655	6,852
188720	6813	SM	FARMERS BANK OF APPOMATTOX, THE	APPOMATTOX	VA	4	151,050	1,705
214722	6862	SM	CHESAPEAKE BANK	KILMARNOCK	VA	11	399,844	5,118
223322	22918	SM	FIRST BANK AND TRUST COMPANY, THE	LEBANON	VA	17	831,024	12,317
233527	6872	SM	PAGE VALLEY BANK, THE	LURAY	VA	4	85,350	554
246321	6845	N	NATIONAL BANK OF FREDERICKSBURG, THE	FREDERICKSBURG	VA	8	472,346	8,847
268828	19011	N	GRUNDY NATIONAL BANK	GRUNDY	VA	6	278,372	3,262
274829	21883	SM	TRUPOINT BANK	GRUNDY	VA	10	431,222	3,840
310875	31294	SM	SHORE BANK	ONLEY	VA	7	253,966	2,773
353724	6128	NM	BANK OF FINCASTLE, THE	FINCASTLE	VA	8	151,430	1,987
355821	16993	SM	BANK OF FLOYD	FLOYD	VA	6	184,711	2,603
359324	10730	NM	PEOPLES BANK, THE	EWING	VA	5	42,819	66
365325	22858	SM	UNITED BANK	FAIRFAX	VA	34	2,920,050	39,833
436823	21225	SM	CENTRAL VIRGINIA BANK	POWHATAN	VA	7	409,295	5,432
517423	11583	SM	CONSOLIDATED BANK AND TRUST COMPANY	RICHMOND	VA	3	79,161	785
550327	9991	SM	NORTHERN NECK STATE BANK	WARSAW	VA	8	326,766	3,716
610128	11580	NM	BANK OF SOUTHSIDE VIRGINIA, THE	CARSON	VA	15	435,806	10,181
619327	2429	SM	FARMERS BANK, WINDSOR VA	WINDSOR	VA	4	262,188	3,437
658924	22888	SM	FARMERS AND MINERS BANK	PENNINGTON GAP	VA	6	115,832	1,507
661223	11582	NM	LEE BANK & TRUST COMPANY	PENNINGTON GAP	VA	4	154,749	1,804
667524	14491	SM	BANK OF CHARLOTTE COUNTY, THE	PHENIX	VA	4	114,179	1,403
679826	6881	SM	MIDDLEBURG BANK	MIDDLEBURG	VA	7	753,411	9,070
693224	11579	SM	UNION BANK AND TRUST COMPANY	BOWLING GREEN	VA	33	1,384,918	22,037
698229	26875	SM	PROSPERITY BANK & TRUST COMPANY	SPRINGFIELD	VA	3	140,906	1,061
711520	23989	SM	MINERS EXCHANGE BANK	COEBURN	VA	5	80,618	626
713926	8668	SM	FARMERS & MERCHANTS BANK	TIMBERVILLE	VA	9	343,523	3,998
722227	9502	NM	FIRST STATE BANK	DANVILLE	VA	3	35,471	-2,348
723822	16414	SM	VIRGINIA BANK AND TRUST COMPANY	DANVILLE	VA	7	150,224	2,808
746429	6139	SM	BANK OF MCKENNEY	MCKENNEY	VA	7	147,798	1,267
753324	6123	SM	BANK OF CLARKE COUNTY	BERRYVILLE	VA	11	485,655	6,220
754929	6821	N	NATIONAL BANK OF BLACKSBURG, THE	BLACKSBURG	VA	26	838,873	12,875
755421	8672	NM	BLUE GRASS VALLEY BANK, THE	BLUE GRASS	VA	2	32,672	285
758721	6879	N	MARSHALL NATIONAL BANK AND TRUST COMPANY	MARSHALL	VA	3	193,270	2,224
759625	6137	NM	BANK OF BOTETOURT	BUCHANAN	VA	8	245,485	3,478
762625	13011	NM	FIRST AND CITIZENS BANK	MONTEREY	VA	2	95,484	690
781028	8675	SM	BANK OF ESSEX	TAPPAHANNOCK	VA	6	271,422	3,351
790721	11584	SM	EVB	TAPPAHANNOCK	VA	22	806,257	7,812
804422	9986	SM	FARMERS AND MERCHANTS BANK OF CRAIG COUNTY, THE	NEW CASTLE	VA	1	45,023	554
821120	20408	SM	BANK OF THE COMMONWEALTH	NORFOLK	VA	11	642,164	11,252
831727	6834	SM	SECOND BANK & TRUST	CULPEPER	VA	9	431,965	5,456
858528	9507	SM	BANK OF MARION, THE	MARION	VA	13	338,490	4,548
899428	6917	SM	FIRST BANK	STRASBURG	VA	10	503,492	6,369
911825	22411	SM	HERITAGE BANK	NORFOLK	VA	6	208,574	459
913520	23567	NM	BUSINESS BANK, THE	VIENNA	VA	5	196,874	1,700
920975	31928	SM	FIRST SENTINEL BANK	RICHLANDS	VA	4	108,821	1,123
928421	10363	NM	CITIZENS AND FARMERS BANK	WEST POINT	VA	16	689,226	12,719
933621	11578	NM	BURKE AND HERBERT BANK AND TRUST COMPANY	ALEXANDRIA	VA	17	1,468,187	20,572
947628	829	SM	PEOPLES COMMUNITY BANK	MONTROSS	VA	5	105,020	1,148
958727	6837	N	AMERICAN NATIONAL BANK AND TRUST COMPANY	DANVILLE	VA	18	797,520	12,195
969424	26191	SM	HIGHLANDS UNION BANK	ABINGDON	VA	12	610,478	5,584
976226	6923	SM	FAUQUIER BANK, THE	WARRENTON	VA	8	490,096	6,141
978323	6925	N	RAPPAHANNOCK NATIONAL BANK, THE	WASHINGTON	VA	2	74,842	1,110
979629	6811	N	FIRST NATIONAL BANK OF ALTAVISTA, THE	ALTAVISTA	VA	7	239,431	2,468
985620	20786	SM	PLANTERS BANK & TRUST COMPANY OF VIRGINIA	STAUNTON	VA	25	838,936	11,078
991621	823	SM	CITIZENS BANK AND TRUST COMPANY	BLACKSTONE	VA	11	272,435	3,425
1009420	6830	N	FIRST NATIONAL BANK	CHRISTIANSBURG	VA	27	1,504,508	19,437
1161029	27125	SM	BANK OF HAMPTON ROADS	NORFOLK	VA	17	431,398	5,925
1190074	27249	SM	VIRGINIA COMMERCE BANK	ARLINGTON	VA	20	1,737,623	25,177
1193543	27281	SM	VIRGINIA HEARTLAND BANK	FREDERICKSBURG	VA	6	285,091	4,048
1216291	27322	SM	RESOURCE BANK	VIRGINIA BEACH	VA	8	1,367,680	12,547
1229228	27411	SM	MARATHON BANK, THE	WINCHESTER	VA	11	419,704	6,348
1469211	33143	N	COUNTRYWIDE BANK, NATIONAL ASSOCIATION	ALEXANDRIA	VA	2	88,737,931	1,194,130
1495331	33195	SM	ROCKINGHAM HERITAGE BANK	HARRISONBURG	VA	12	425,835	4,359
2303086	34019	SM	VALLEY BANK	ROANOKE	VA	8	531,496	3,395
2353595	13012	N	FIRST COMMUNITY BANK, NATIONAL ASSOCIATION	BLUEFIELD	VA	49	1,972,611	29,406
2683014	34733	NM	CARDINAL BANK	MCLEAN	VA	23	1,446,614	11,689
2705121	34807	SM	POTOMAC BANK OF VIRGINIA	FAIRFAX	VA	4	243,068	1,881
2708122	34755	N	VIRGINIA NATIONAL BANK	CHARLOTTESVILLE	VA	8	285,970	2,666
2712978	34664	SM	ALLIANCE BANK CORPORATION	FAIRFAX	VA	5	618,322	5,270
2718345	34945	SM	MONARCH BANK	CHESAPEAKE	VA	7	344,684	3,978
2736442	34933	SM	BAY COMMUNITY BANK	NEWPORT NEWS	VA	4	106,310	776
2736451	34890	SM	NEW PEOPLES BANK, INC.	HONAKER	VA	25	583,758	3,888
2742153	34802	SM	FIRST CAPITAL BANK	GLEN ALLEN	VA	6	228,930	1,669
2760232	35111	NM	VILLAGE BANK	MIDLOTHIAN	VA	9	251,796	1,718
2767763	35096	N	MILLENNIUM BANK, NA	RESTON	VA	7	483,281	-164
2777472	35107	N	SHENANDOAH VALLEY NATIONAL BANK	WINCHESTER	VA	7	437,232	913
2787770	35207	SM	BANK OF THE JAMES	LYNCHBURG	VA	6	207,312	1,791
2797724	35095	NM	TOWNEBANK	PORTSMOUTH	VA	15	1,980,379	21,786
2833181	35160	N	BANK OF RICHMOND, NATIONAL ASSOCIATION, THE	RICHMOND	VA	6	158,264	2,103
2847432	35326	SM	CITIZENS COMMUNITY BANK	SOUTH HILL	VA	4	128,167	800
2856685	35274	N	SMITH RIVER COMMUNITY BANK, NATIONAL ASSOCIATION	MARTINSVILLE	VA	4	74,679	416
2859903	35189	N	ACCESS NATIONAL BANK	RESTON	VA	3	589,858	8,441
2897503	35346	N	BANK OF POWHATAN, NATIONAL ASSOCIATION	POWHATAN	VA	1	69,224	518
3019982	57184	SM	FREEDOM BANK OF VIRGINIA, THE	FAIRFAX	VA	2	60,419	-317
3085240	57320	N	CITIZENS NATIONAL BANK	WINDSOR	VA	1	34,988	152
3101775	57364	SM	PEOPLES BANK OF VIRGINIA	RICHMOND	VA	4	237,442	2,570
3125137	57259	N	FRANKLIN COMMUNITY BANK, NATIONAL ASSOCIATION	ROCKY MOUNT	VA	2	171,995	2,924
3125315	57420	SM	HIGHLANDS COMMUNITY BANK	COVINGTON	VA	2	56,066	361
3133253	57309	N	BANK OF GOOCHLAND, NATIONAL ASSOCIATION	MANAKIN-SABOT	VA	2	75,623	1,886
3153288	57487	SM	SUFFOLKFIRST BANK	SUFFOLK	VA	2	107,914	873
