List of Banks in Peer Group -- VACOM All Insured Commercial Banks in Virginia

Reporting Period End Date	03/31/2015
Number of Banks in Peer Group	88

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
31826	6863	N	POWELL VALLEY NATIONAL BANK	JONESVILLE	VA	5	265,230	532
34425	11200	SM	BANK OF LANCASTER	KILMARNOCK	VA	10	389,365	381
41629	6913	SM	PIONEER BANK	STANLEY	VA	6	172,176	528
90328	6861	N	GRAYSON NATIONAL BANK, THE	INDEPENDENCE	VA	10	332,364	461
94522	20484	SM	BENCHMARK COMMUNITY BANK	KENBRIDGE	VA	13	488,664	1,553
105222	22331	SM	VIRGINIA COMMUNITY BANK	LOUISA	VA	6	209,839	261
112837	4297	N	CAPITAL ONE, NATIONAL ASSOCIATION	MC LEAN	VA	852	256,612,831	456,738
186221	6892	N	OLD POINT NATIONAL BANK OF PHOEBUS, THE	HAMPTON	VA	18	874,579	1,010
188720	6813	SM	FARMERS BANK OF APPOMATTOX, THE	APPOMATTOX	VA	5	215,520	416
214722	6862	SM	CHESAPEAKE BANK	KILMARNOCK	VA	12	647,003	1,918
223322	22918	SM	FIRST BANK AND TRUST COMPANY, THE	LEBANON	VA	21	1,383,548	4,446
233527	6872	SM	BLUE RIDGE BANK, INC.	LURAY	VA	5	240,320	563
268828	19011	N	GRUNDY NATIONAL BANK	GRUNDY	VA	8	319,678	621
274829	21883	SM	TRUPOINT BANK	GRUNDY	VA	12	449,567	516
310875	31294	SM	SHORE BANK	ONLEY	VA	7	371,068	115
353724	6128	NM	BANK OF FINCASTLE, THE	FINCASTLE	VA	7	220,267	154
355821	16993	SM	BANK OF FLOYD	FLOYD	VA	7	275,894	69
359324	10730	NM	PEOPLES BANK, THE	ROSE HILL	VA	4	106,577	327
365325	22858	SM	UNITED BANK	FAIRFAX	VA	68	7,120,164	20,198
413208	57890	N	HSBC BANK USA, NATIONAL ASSOCIATION	MCLEAN	VA	233	187,076,020	172,749
534774	29742	SM	VIRGINIA COMMONWEALTH BANK	PETERSBURG	VA	7	283,050	358
610128	11580	NM	BANK OF SOUTHSIDE VIRGINIA, THE	CARSON	VA	15	550,498	1,695
619327	2429	SM	FARMERS BANK, WINDSOR VA	WINDSOR	VA	6	428,882	915
658924	22888	SM	FARMERS AND MINERS BANK	PENNINGTON GAP	VA	6	136,082	263
661223	11582	NM	LEE BANK & TRUST COMPANY	PENNINGTON GAP	VA	4	157,223	242
667524	14491	SM	BANK OF CHARLOTTE COUNTY, THE	PHENIX	VA	4	130,244	341
