List of Banks in Peer Group -- VTCOM All Insured Commercial Banks in Vermont

Reporting Period End Date	12/31/2007
Number of Banks in Peer Group	11

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
331106	14155	NM	LYNDONBANK	LYNDONVILLE	VT	7	157,199	-656
40707	6209	N	CONNECTICUT RIVER BANK, N.A.	SPRINGFIELD	VT	11	220,471	1,865
521608	6281	N	RANDOLPH NATIONAL BANK	RANDOLPH	VT	7	132,135	826
1863097	33418	N	LEDYARD NATIONAL BANK	NORWICH	VT	6	324,891	3,912
173306	6275	N	NATIONAL BANK OF MIDDLEBURY	MIDDLEBURY	VT	5	218,806	1,751
40305	14149	NM	CHITTENDEN TRUST COMPANY	BURLINGTON	VT	57	3,350,254	50,950
333203	14158	NM	UNION BANK	MORRISVILLE	VT	13	383,938	5,862
463605	14168	NM	PEOPLES TRUST COMPANY OF ST. ALBANS	SAINT ALBANS	VT	6	213,458	1,625
177500	6280	N	FIRST NATIONAL BANK OF ORWELL	ORWELL	VT	2	30,679	141
166803	6268	NM	MERCHANTS BANK, THE	BURLINGTON	VT	37	1,135,226	11,814
270504	6271	N	COMMUNITY NATIONAL BANK	DERBY	VT	9	347,482	3,712
