List of Banks in Peer Group -- WACOM All Insured Commercial Banks in Washington

Reporting Period End Date	12/31/2021
Number of Banks in Peer Group	33

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
2642598	34627	NM	COMMUNITY FIRST BANK	KENNEWICK	WA	5	571,761	7,513
3102893	57167	NM	WASHINGTON BUSINESS BANK	OLYMPIA	WA	2	105,357	1,416
574976	1265	NM	CASHMERE VALLEY BANK	CASHMERE	WA	11	2,109,065	29,033
3346268	57978	NM	SAVIBANK	BURLINGTON	WA	9	459,527	4,008
352772	28489	NM	BANNER BANK	WALLA WALLA	WA	148	16,151,301	212,499
307679	23041	NM	BANK OF THE PACIFIC	ABERDEEN	WA	16	1,275,076	13,225
479071	2945	NM	STATE BANK NORTHWEST	SPOKANE VALLEY	WA	3	220,025	2,304
3943210	58778	NM	LIBERTY BANK	POULSBO	WA	1	178,089	448
519874	8681	NM	LAMONT BANK OF ST. JOHN	SAINT JOHN	WA	1	65,375	1,098
1494482	33183	NM	SOUND BANKING COMPANY	LAKEWOOD	WA	1	86,040	930
58971	1281	NM	WASHINGTON TRUST BANK	SPOKANE	WA	41	10,342,510	101,090
258771	32489	NM	HOMESTREET BANK	SEATTLE	WA	60	7,205,146	118,986
3537897	58446	SM	COMMENCEMENT BANK	TACOMA	WA	4	558,862	4,195
694771	6156	NM	FARMERS STATE BANK	WINTHROP	WA	1	57,249	138
768074	29058	NM	FIRST FINANCIAL NORTHWEST BANK	RENTON	WA	15	1,421,138	13,582
2905761	35261	NM	TWIN CITY BANK	LONGVIEW	WA	1	77,693	476
429487	57451	NM	SOUND COMMUNITY BANK	SEATTLE	WA	9	916,164	10,122
881478	29012	NM	HERITAGE BANK	OLYMPIA	WA	48	7,099,234	103,058
584377	6161	NM	KITSAP BANK	PORT ORCHARD	WA	17	1,609,018	21,021
111979	13232	NM	SECURITY STATE BANK	CENTRALIA	WA	11	644,023	5,920
3459207	58341	NM	MOUNTAIN PACIFIC BANK	EVERETT	WA	4	566,685	7,560
656377	28088	N	WASHINGTON FEDERAL BANK, NATIONAL ASSOCIATION	SEATTLE	WA	217	19,498,028	195,433
477376	6149	SM	FARMINGTON STATE BANK	FARMINGTON	WA	1	15,777	-808
3282692	57799	NM	FIRST SOUND BANK	SEATTLE	WA	1	160,809	2,344
69678	2987	N	BAKER BOYER NATIONAL BANK	WALLA WALLA	WA	6	774,987	5,430
921178	29922	NM	RIVERVIEW COMMUNITY BANK	VANCOUVER	WA	16	1,612,152	21,717
3438958	58322	NM	RIVERBANK	SPOKANE	WA	1	187,851	1,909
403179	28405	NM	FIRST FED BANK	PORT ANGELES	WA	12	1,755,367	16,804
2562164	34403	SM	COASTAL COMMUNITY BANK	EVERETT	WA	14	2,179,056	26,882
2078290	33826	NM	COLUMBIA STATE BANK	TACOMA	WA	153	18,324,513	206,609
455972	6158	NM	PEOPLES BANK	BELLINGHAM	WA	23	2,601,284	25,845
129479	22939	NM	WHEATLAND BANK	SPOKANE	WA	14	668,514	8,695
3487947	58407	SM	UNIBANK	LYNNWOOD	WA	4	404,289	8,620
