List of Banks in Peer Group -- WASVG All Insured Savings Banks in Washington

Reporting Period End Date	09/30/2016
Number of Banks in Peer Group	10

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
2838207	35139	SI	SEATTLE BANK	SEATTLE	WA	6	221,700	17,120
550279	28599	SI	OLYMPIA FEDERAL SAVINGS AND LOAN ASSOCIATION	OLYMPIA	WA	8	582,825	1,899
2643595	34585	SI	PACIFIC CREST SAVINGS BANK	LYNNWOOD	WA	1	198,646	2,055
349370	28454	SI	ANCHOR BANK	ABERDEEN	WA	10	417,262	1,293
921178	29922	SI	RIVERVIEW COMMUNITY BANK	VANCOUVER	WA	17	922,663	5,078
403179	28405	SI	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF PORT ANGELES	PORT ANGELES	WA	11	955,747	2,473
1018927	57633	SI	1ST SECURITY BANK OF WASHINGTON	MOUNTLAKE TERRACE	WA	12	789,959	8,325
294779	28453	SI	TIMBERLAND BANK	HOQUIAM	WA	22	858,261	7,713
809771	28116	SI	YAKIMA FEDERAL SAVINGS AND LOAN ASSOCIATION	YAKIMA	WA	10	1,782,617	9,399
768476	28266	SI	RAYMOND FEDERAL BANK	RAYMOND	WA	3	58,139	117
