List of Banks in Peer Group -- WICOM All Insured Commercial Banks in Wisconsin

Reporting Period End Date	06/30/2008
Number of Banks in Peer Group	253

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
2040	13046	NM	FARMERS & MERCHANTS BANK	TOMAH	WI	3	200,436	-137
12245	15093	NM	BANK NORTH	CRIVITZ	WI	6	110,308	498
12647	10012	NM	PORTAGE COUNTY BANK, THE	ALMOND	WI	5	75,857	449
14052	9042	NM	LINCOLN COMMUNITY BANK	MERRILL	WI	1	69,392	375
20053	10015	NM	SECURITY BANK	NEW AUBURN	WI	4	78,716	544
21658	12511	NM	ALLIANCE BANK	MONDOVI	WI	5	134,700	844
23755	5357	N	FIRST NATIONAL COMMUNITY BANK	NEW RICHMOND	WI	3	140,408	225
24949	12788	N	BARABOO NATIONAL BANK, THE	BARABOO	WI	11	647,435	3,923
27548	14078	NM	BLACKHAWK STATE BANK	BELOIT	WI	7	475,100	1,738
33549	12787	NM	BLACK EARTH STATE BANK	BLACK EARTH	WI	1	45,296	12
34452	5358	N	FIRST NATIONAL BANK OF PARK FALLS, THE	PARK FALLS	WI	3	80,524	597
35646	11235	NM	BONDUEL STATE BANK	BONDUEL	WI	1	47,845	310
37051	13030	NM	PIGEON FALLS STATE BANK	PIGEON FALLS	WI	3	54,882	105
37341	21085	NM	BANK OF ONTARIO	ONTARIO	WI	2	29,653	165
37743	11607	SM	CALUMET COUNTY BANK	BRILLION	WI	2	81,732	433
41245	15173	SM	FARMERS & MERCHANTS BANK OF ORFORDVILLE	ORFORDVILLE	WI	1	32,457	139
41647	5287	SM	FIRST BANKING CENTER	BURLINGTON	WI	16	890,017	4,784
43052	9036	NM	SECURITY STATE BANK	IRON RIVER	WI	3	110,914	735
43744	14823	NM	CAMBRIDGE STATE BANK	CAMBRIDGE	WI	1	102,386	602
47256	27053	NM	COMMUNITY FINANCIAL BANK	PRENTICE	WI	2	28,181	-5
48440	9517	NM	CLEVELAND STATE BANK	CLEVELAND	WI	2	65,655	281
49643	15116	NM	PALMYRA STATE BANK	PALMYRA	WI	1	33,450	154
51842	14445	NM	FARMERS & MERCHANTS UNION BANK	COLUMBUS	WI	5	235,454	786
54049	11603	NM	BANK OF POYNETTE	POYNETTE	WI	3	79,939	492
54441	6183	NM	AMERICAN BANK & TRUST WISCONSIN	CUBA CITY	WI	5	111,023	401
56548	14769	NM	DMB COMMUNITY BANK	DEFOREST	WI	3	240,920	1,227
57040	14468	N	FIRST NATIONAL BANK AT DARLINGTON	DARLINGTON	WI	1	76,590	267
57451	17162	NM	DAIRY STATE BANK	RICE LAKE	WI	9	346,619	1,702
58243	20296	SM	JOHNSON BANK	RACINE	WI	48	4,828,604	18,188
62147	12512	NM	COMMUNITY FIRST BANK	ROSHOLT	WI	3	64,094	435
63742	12781	NM	HOMETOWN BANK	FOND DU LAC	WI	8	198,606	623
68448	5325	N	UNION NATIONAL BANK & TRUST COMPANY	SPARTA	WI	1	82,287	541
68840	15177	SM	UNION BANK & TRUST COMPANY	EVANSVILLE	WI	4	129,328	763
74449	14400	N	FIRST NATIONAL BANK IN TIGERTON	TIGERTON	WI	2	19,382	111
78643	15403	SM	STATE BANK OF VIROQUA, THE	VIROQUA	WI	2	81,129	467
79145	13242	NM	FARMERS & MERCHANTS STATE BANK	WATERLOO	WI	2	135,239	575
90645	12518	NM	COMMERCIAL BANK	WHITEWATER	WI	3	84,005	152
91147	12779	NM	STATE BANK OF WITHEE	WITHEE	WI	4	62,969	245
93244	10011	NM	WOODFORD STATE BANK	WOODFORD	WI	5	183,186	975
111942	5286	N	FIRST NATIONAL BANK OF BERLIN, THE	BERLIN	WI	8	253,971	722
112444	15121	NM	JACKSON COUNTY BANK	BLACK RIVER FALLS	WI	6	221,106	2,295
114149	12513	NM	HERITAGE BANK	SPENCER	WI	2	70,360	263
117841	5328	NM	EVERGREEN STATE BANK	STOUGHTON	WI	4	268,214	-677
120542	12331	NM	STATE BANK OF CHILTON	CHILTON	WI	3	174,668	-116
124344	13565	NM	BANK OF SUN PRAIRIE	SUN PRAIRIE	WI	4	284,022	1,807
130345	9536	NM	COMMUNITY STATE BANK	UNION GROVE	WI	8	247,910	2,624
131940	8700	NM	WALDO STATE BANK	WALDO	WI	1	35,632	143
143952	5336	SM	FIRST BANK OF BALDWIN, THE	BALDWIN	WI	4	174,123	1,479
147053	5338	N	FIRST NATIONAL BANK AND TRUST	BARRON	WI	2	59,906	51
149150	2467	NM	CITIZENS STATE BANK	CADOTT	WI	3	97,931	70
153054	2468	SM	NORTHWESTERN BANK, THE	CHIPPEWA FALLS	WI	6	338,107	-7,229
159645	14960	NM	STATE BANK OF REESEVILLE	REESEVILLE	WI	2	45,251	224
160650	23137	NM	CHARTER BANK EAU CLAIRE	EAU CLAIRE	WI	1	489,409	4,665
163549	19772	NM	RIVER VALLEY BANK	WAUSAU	WI	18	872,712	5,274
164854	14629	NM	UNITED BANK	OSSEO	WI	6	205,892	1,138
167453	8693	NM	BANK OF GALESVILLE	GALESVILLE	WI	3	79,912	932
175140	11595	SM	COMMUNITY FIRST BANK	BOSCOBEL	WI	6	222,934	1,331
176053	5352	NM	PIONEER BANK OF WISCONSIN	LADYSMITH	WI	1	58,448	381
178150	11601	NM	LAONA STATE BANK	LAONA	WI	4	136,337	636
179755	22153	N	FIDELITY NATIONAL BANK	MEDFORD	WI	2	90,333	270
180649	22017	N	OZAUKEE BANK NATIONAL ASSOCIATION	CEDARBURG	WI	7	760,740	2,377
186548	17208	NM	TSB BANK	LOMIRA	WI	3	64,559	226
189549	10375	NM	ADVANTAGE COMMUNITY BANK	DORCHESTER	WI	4	116,063	526
196743	12515	NM	SECURANT BANK & TRUST	MILWAUKEE	WI	4	175,269	67
198149	19795	NM	ABBYBANK	ABBOTSFORD	WI	3	242,963	1,252
200640	26218	NM	PARK BANK	MILWAUKEE	WI	7	766,445	7,392
205346	13025	NM	FARMERS SAVINGS BANK	MINERAL POINT	WI	5	201,690	1,347
207845	5285	N	FIRST NATIONAL BANK AND TRUST COMPANY, THE	BELOIT	WI	11	607,059	2,453
208347	14316	NM	BENTON STATE BANK	BENTON	WI	3	45,963	128
210555	1135	NM	PEOPLES STATE BANK OF BLOOMER	BLOOMER	WI	1	108,806	395
215251	11625	NM	STATE BANK OF DRUMMOND	DRUMMOND	WI	3	44,551	100
216445	13272	NM	BADGER STATE BANK	CASSVILLE	WI	1	108,389	587
219044	14914	NM	COLLINS STATE BANK	COLLINS	WI	1	18,344	85
222446	13240	NM	DENMARK STATE BANK	DENMARK	WI	6	360,639	1,923
224954	9035	NM	HEADWATERS STATE BANK	LAND O'LAKES	WI	2	57,750	616
228345	9529	NM	STATE BANK OF NEWBURG	NEWBURG	WI	1	129,976	736
229940	15189	NM	FARMERS EXCHANGE BANK	NESHKORO	WI	4	57,487	70
239042	15130	NM	COMMUNITY STATE BANK	NORWALK	WI	2	27,147	124
242444	18922	N	TRI CITY NATIONAL BANK	OAK CREEK	WI	37	751,537	5,750
