List of Banks in Peer Group -- WISVG All Insured Savings Banks in Wisconsin

Reporting Period End Date	09/30/2017
Number of Banks in Peer Group	26

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
336576	28614	SI	EQUITABLE BANK, STATE SAVINGS BANK, THE	WAUWATOSA	WI	6	301,369	53
524971	28400	SI	WESTBURY BANK	WEST BEND	WI	8	757,846	2,377
27070	29294	SI	TIME FEDERAL SAVINGS BANK	MEDFORD	WI	6	604,822	3,333
465672	30516	SI	TOMAHAWK COMMUNITY BANK S.S.B.	TOMAHAWK	WI	2	142,344	365
411576	30585	SI	MAYVILLE SAVINGS BANK	MAYVILLE	WI	1	60,105	238
331076	30422	SI	FIRST FEDERAL BANK OF WISCONSIN	WAUKESHA	WI	5	237,442	230
102874	29676	SI	PAPER CITY SAVINGS ASSOCIATION	WISCONSIN RAPIDS	WI	3	160,046	908
2756767	35043	SI	SUNSET BANK & SAVINGS	WAUKESHA	WI	2	128,343	337
28675	29293	SI	CUMBERLAND FEDERAL BANK, FEDERAL SAVINGS BANK	CUMBERLAND	WI	1	128,624	823
3017081	57093	SI	NORTHWESTERN MUTUAL WEALTH MANAGEMENT COMPANY	MILWAUKEE	WI	1	221,748	28,997
35879	30313	SI	EAST WISCONSIN SAVINGS BANK	KAUKAUNA	WI	6	229,256	358
2745529	34799	SI	THRIVENT TRUST CO.	APPLETON	WI	1	26,901	-401
255873	30248	SI	HOME SAVINGS BANK	MADISON	WI	4	145,976	-85
313577	28530	SI	FORWARD FINANCIAL BANK	MARSHFIELD	WI	8	399,227	1,605
835770	29188	SI	FOX VALLEY SAVINGS BANK	FOND DU LAC	WI	3	330,996	1,254
524579	29657	SI	GREAT MIDWEST BANK, STATE SAVINGS BANK	BROOKFIELD	WI	9	703,084	3,812
208972	29691	SI	KEYSAVINGS BANK	WISCONSIN RAPIDS	WI	2	76,059	61
2992547	35237	SI	JOHN DEERE FINANCIAL, F.S.B.	MADISON	WI	1	3,013,878	68,234
596277	28480	SI	COLUMBIA SAVINGS AND LOAN ASSOCIATION	MILWAUKEE	WI	1	23,991	-44
310978	28513	SI	WATERSTONE BANK	WAUWATOSA	WI	12	1,796,479	22,813
686570	28983	SI	LADYSMITH FEDERAL SAVINGS & LOAN ASSOCIATION	LADYSMITH	WI	1	49,534	166
713476	29120	SI	PYRAMAX BANK, F.S.B.	GREENFIELD	WI	9	455,543	5,211
596978	29745	SI	MARATHON SAVINGS BANK	WAUSAU	WI	3	147,400	469
575375	28790	SI	SUPERIOR SAVINGS BANK	SUPERIOR	WI	1	66,137	249
806378	30125	SI	BANK MUTUAL	MILWAUKEE	WI	59	2,671,125	12,825
376273	28679	SI	NORTH SHORE BANK, F.S.B.	BROOKFIELD	WI	47	1,861,254	6,685
