List of Banks in Peer Group -- WISVG All Insured Savings Banks in Wisconsin

Reporting Period End Date	03/31/2022
Number of Banks in Peer Group	23

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
336576	28614	SI	EQUITABLE BANK, S.S.B., THE	WAUWATOSA	WI	6	309,483	25
255873	30248	SI	HOME SAVINGS BANK	MADISON	WI	2	177,535	-164
27070	29294	SI	PREVAIL BANK	MEDFORD	WI	9	929,253	1,509
465672	30516	SI	TOMAHAWK COMMUNITY BANK S.S.B.	TOMAHAWK	WI	2	202,263	86
411576	30585	SI	MAYVILLE SAVINGS BANK	MAYVILLE	WI	1	77,265	45
331076	30422	SI	FIRST FEDERAL BANK OF WISCONSIN	WAUKESHA	WI	5	350,810	637
102874	29676	SI	PAPER CITY SAVINGS ASSOCIATION	WISCONSIN RAPIDS	WI	3	210,775	208
28675	29293	SI	CUMBERLAND FEDERAL BANK, FEDERAL SAVINGS BANK	CUMBERLAND	WI	2	211,407	411
596978	29745	SI	MARATHON BANK	WAUSAU	WI	4	214,517	247
3017081	57093	SI	NORTHWESTERN MUTUAL WEALTH MANAGEMENT COMPANY	MILWAUKEE	WI	1	475,055	30,079
35879	30313	SI	EAST WISCONSIN SAVINGS BANK	KAUKAUNA	WI	6	287,790	-131
2745529	34799	SI	THRIVENT TRUST CO.	APPLETON	WI	1	26,864	8,319
313577	28530	SI	FORWARD BANK	MARSHFIELD	WI	11	874,285	1,428
835770	29188	SI	FOX VALLEY SAVINGS BANK	FOND DU LAC	WI	3	408,925	779
524579	29657	SI	GREAT MIDWEST BANK, STATE SAVINGS BANK	BROOKFIELD	WI	8	770,698	1,569
208972	29691	SI	KEYSAVINGS BANK	WISCONSIN RAPIDS	WI	2	92,870	228
2992547	35237	SI	JOHN DEERE FINANCIAL, F.S.B.	MADISON	WI	1	2,777,659	34,795
596277	28480	SI	COLUMBIA SAVINGS AND LOAN ASSOCIATION	MILWAUKEE	WI	1	26,874	11
310978	28513	SI	WATERSTONE BANK	WAUWATOSA	WI	15	2,148,631	5,331
686570	28983	SI	LADYSMITH FEDERAL SAVINGS & LOAN ASSOCIATION	LADYSMITH	WI	1	75,283	72
713476	29120	SI	PYRAMAX BANK, F.S.B.	GREENFIELD	WI	6	541,206	276
575375	28790	SI	SUPERIOR SAVINGS BANK	SUPERIOR	WI	1	85,847	17
376273	28679	SI	NORTH SHORE BANK, F.S.B.	BROOKFIELD	WI	44	2,574,096	2,088
