List of Banks in Peer Group -- WVCOM All Insured Commercial Banks in West Virginia

Reporting Period End Date	06/30/2010
Number of Banks in Peer Group	60

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
4437	6795	N	FIRST NATIONAL BANK	RONCEVERTE	WV	6	265,900	482
8631	847	SM	PLEASANTS COUNTY BANK, THE	SAINT MARYS	WV	3	55,159	139
13037	848	NM	TRADERS BANK, INC.	RAVENSWOOD	WV	6	157,581	1,009
18836	9998	SM	CAPON VALLEY BANK	WARDENSVILLE	WV	4	160,888	-226
20633	6803	NM	MCNB BANK AND TRUST CO.	WELCH	WV	5	303,334	615
22730	2452	NM	WEST UNION BANK	WEST UNION	WV	5	105,462	328
104234	9030	NM	HARRISON COUNTY BANK, THE	LOST CREEK	WV	5	90,779	247
164331	19285	SM	LOGAN BANK & TRUST COMPANY	LOGAN	WV	5	232,451	1,095
170332	13020	NM	FIRST EXCHANGE BANK	MANNINGTON	WV	7	202,226	1,217
294827	2448	NM	PIONEER COMMUNITY BANK, INC.	IAEGER	WV	6	114,684	785
352820	13017	NM	BANK OF MOUNT HOPE, INC.	MOUNT HOPE	WV	3	119,370	646
357526	2453	NM	DAVIS TRUST COMPANY	ELKINS	WV	2	138,479	289
370020	6176	NM	PENDLETON COMMUNITY BANK, INC.	FRANKLIN	WV	5	245,305	1,111
417626	15243	SM	PUTNAM COUNTY BANK	HURRICANE	WV	3	530,358	2,459
481627	6760	NM	CITIZENS BANK OF WEST VIRGINIA, INC.	ELKINS	WV	4	239,512	825
488420	6762	N	FAYETTE COUNTY NATIONAL BANK OF FAYETTEVILLE, THE	FAYETTEVILLE	WV	3	79,077	486
491822	15397	SM	BANK OF GASSAWAY	GASSAWAY	WV	3	167,258	459
498625	9024	NM	CALHOUN COUNTY BANK, INC.	GRANTSVILLE	WV	4	110,476	490
569422	6750	N	FIRST CENTURY BANK, NATIONAL ASSOCIATION	BLUEFIELD	WV	11	419,433	1,182
600129	10002	N	PROGRESSIVE BANK, NATIONAL ASSOCIATION	WHEELING	WV	10	269,974	1,145
627425	14361	NM	FIRST STATE BANK, THE	BARBOURSVILLE	WV	3	229,685	1,600
629522	15664	NM	FREEDOM BANK, INC.	BELINGTON	WV	5	161,507	633
639633	19674	NM	CITIZENS BANK OF WESTON, INC., THE	WESTON	WV	2	168,249	1,151
645625	803	NM	WESBANCO BANK, INC.	WHEELING	WV	110	5,407,979	17,712
667029	16620	NM	UNION BANK, INC.	MIDDLEBOURNE	WV	8	178,688	1,192
670421	22647	NM	NORTHERN HANCOCK BANK & TRUST CO.	NEWELL	WV	2	30,908	208
706236	22273	NM	BANK OF MINGO	WILLIAMSON	WV	5	113,726	447
708333	6173	SM	FIRST PEOPLES BANK, INC.	MULLENS	WV	3	117,889	349
718538	11953	NM	GRANT COUNTY BANK, THE	PETERSBURG	WV	7	248,911	786
719030	6787	N	FIRST NATIONAL BANK OF PETERSTOWN, THE	PETERSTOWN	WV	1	51,236	259
722432	845	SM	BANK OF ROMNEY, THE	ROMNEY	WV	6	233,700	814
732637	16453	NM	WHITESVILLE STATE BANK	WHITESVILLE	WV	4	69,759	310
786733	9997	NM	JEFFERSON SECURITY BANK	SHEPHERDSTOWN	WV	6	254,419	450
829032	20215	SM	BCBANK, INC.	PHILIPPI	WV	3	124,576	152
832528	2444	NM	CLAY COUNTY BANK, INC.	CLAY	WV	2	73,236	487
849432	6180	SM	BANK OF MONROE, THE	UNION	WV	2	104,600	572
851239	11952	NM	POCA VALLEY BANK, INC., THE	WALTON	WV	7	291,728	1,030
