List of Banks in Peer Group -- WVCOM All Insured Commercial Banks in West Virginia

Reporting Period End Date	09/30/2024
Number of Banks in Peer Group	41

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
629522	15664	NM	FREEDOM BANK, INC.	BELINGTON	WV	5	207,738	1,425
20633	6803	NM	MCNB BANK AND TRUST CO.	WELCH	WV	6	363,269	887
170332	13020	NM	FIRST EXCHANGE BANK	WHITE HALL	WV	7	384,208	1,557
849432	6180	SM	BANK OF MONROE, THE	UNION	WV	3	228,241	1,709
488420	6762	N	FAYETTE COUNTY NATIONAL BANK OF FAYETTEVILLE, THE	FAYETTEVILLE	WV	3	147,486	636
897237	22954	NM	CITIZENS BANK OF MORGANTOWN, INC.	MORGANTOWN	WV	1	49,997	203
22730	2452	NM	WEST UNION BANK	WEST UNION	WV	5	275,105	1,116
639633	19674	NM	CITIZENS BANK OF WESTON, INC., THE	WESTON	WV	2	270,031	2,722
886624	2443	SM	CLEAR MOUNTAIN BANK, INC.	BRUCETON MILLS	WV	11	986,732	8,464
944627	14507	NM	CNB BANK, INC.	BERKELEY SPRINGS	WV	9	629,860	3,378
829032	20215	NM	BCBANK, INC.	PHILIPPI	WV	5	217,336	821
645625	803	NM	WESBANCO BANK, INC.	WHEELING	WV	187	18,252,203	116,379
417626	15243	SM	PUTNAM COUNTY BANK	HURRICANE	WV	4	631,070	2,873
786733	9997	NM	JEFFERSON SECURITY BANK	SHEPHERDSTOWN	WV	5	540,100	3,545
1014125	9023	NM	BANK OF CHARLES TOWN	CHARLES TOWN	WV	9	858,188	5,274
913436	13018	NM	MINERS AND MERCHANTS BANK	THOMAS	WV	3	66,808	50
706236	22273	NM	BANK OF MINGO	WILLIAMSON	WV	5	140,275	1,108
969639	6794	NM	FNB BANK, INC.	ROMNEY	WV	5	263,134	1,183
2757205	34603	NM	MVB BANK, INC.	FAIRMONT	WV	7	3,314,528	22,708
918132	14744	NM	WILLIAMSTOWN BANK, INC.	WILLIAMSTOWN	WV	3	224,537	700
498625	9024	NM	CALHOUN COUNTY BANK, INC.	GRANTSVILLE	WV	4	180,714	733
104234	9030	NM	HARRISON COUNTY BANK, THE	LOST CREEK	WV	4	148,413	383
917630	6805	N	FIRST NATIONAL BANK OF WILLIAMSON, THE	WILLIAMSON	WV	3	116,550	-66
294827	2448	NM	PIONEER COMMUNITY BANK, INC.	IAEGER	WV	6	165,263	2,417
164331	19285	NM	LOGAN BANK & TRUST COMPANY	LOGAN	WV	5	344,633	3,421
8631	847	SM	PLEASANTS COUNTY BANK, THE	SAINT MARYS	WV	2	74,608	115
1011526	17735	N	CITY NATIONAL BANK OF WEST VIRGINIA	CHARLESTON	WV	98	6,417,465	88,706
18836	9998	NM	CAPON VALLEY BANK	WARDENSVILLE	WV	5	213,887	1,197
901134	19681	NM	COMMUNITY BANK OF PARKERSBURG	PARKERSBURG	WV	4	308,096	1,939
832528	2444	NM	CLAY COUNTY BANK, INC.	CLAY	WV	2	124,723	1,189
1011432	6786	N	MOUNTAIN VALLEY BANK, N.A.	ELKINS	WV	4	194,579	1,807
357526	2453	NM	DAVIS TRUST COMPANY	ELKINS	WV	2	237,517	1,570
667029	16620	NM	UNION BANK, INC.	MIDDLEBOURNE	WV	8	378,909	3,653
481627	6760	NM	CITIZENS BANK OF WEST VIRGINIA, INC.	ELKINS	WV	6	679,788	5,712
911339	6800	NM	FIRST NEIGHBORHOOD BANK, INC.	SPENCER	WV	4	149,106	-84
718538	11953	NM	GRANT COUNTY BANK, THE	PETERSBURG	WV	7	346,362	2,203
732637	16453	NM	WHITESVILLE STATE BANK	WHITESVILLE	WV	5	132,439	418
851239	11952	NM	POCA VALLEY BANK, INC., THE	WALTON	WV	8	579,948	2,374
719030	6787	N	FIRST NATIONAL BANK OF PETERSTOWN, THE	PETERSTOWN	WV	2	85,017	753
370020	6176	NM	PENDLETON COMMUNITY BANK, INC.	FRANKLIN	WV	14	767,668	4,037
722432	845	SM	BANK OF ROMNEY, THE	ROMNEY	WV	7	369,552	3,671
