List of Banks in Peer Group -- WYCOM All Insured Commercial Banks in Wyoming

Reporting Period End Date	09/30/2009
Number of Banks in Peer Group	34

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
78559	25054	N	SUMMIT NATIONAL BANK	HULETT	WY	4	55,601	291
900258	19118	SM	OREGON TRAIL BANK	GUERNSEY	WY	3	28,509	47
395779	29608	SM	TRI-COUNTY BANK	CHEYENNE	WY	2	51,859	118
903950	529	NM	CENTRAL BANK AND TRUST	LANDER	WY	5	109,499	9,751
529172	31966	NM	SECURITY FIRST BANK	CHEYENNE	WY	3	52,927	-138
2602828	34441	NM	STATE BANK	GREEN RIVER	WY	2	45,012	90
890050	18880	N	FIRST NATIONAL BANK OF GILLETTE	GILLETTE	WY	2	425,756	4,129
87159	1168	SM	FIRST STATE BANK OF NEWCASTLE	NEWCASTLE	WY	1	123,260	1,867
580155	5442	SM	PLATTE VALLEY BANK	TORRINGTON	WY	3	171,455	409
563756	23318	SM	FIRST STATE BANK	WHEATLAND	WY	3	240,747	1,650
1454	19184	N	HILLTOP NATIONAL BANK	CASPER	WY	5	460,078	5,683
72258	12591	NM	CONVERSE COUNTY BANK, THE	DOUGLAS	WY	1	257,824	4,102
561659	2232	NM	PINNACLE BANK - WYOMING	TORRINGTON	WY	10	511,632	7,261
548052	2228	N	RAWLINS NATIONAL BANK, THE	RAWLINS	WY	5	151,806	113
3445460	58395	NM	WYOMING STATE BANK	LARAMIE	WY	3	129,450	527
3032833	57363	NM	CHEYENNE STATE BANK	CHEYENNE	WY	1	40,574	130
544951	8725	SM	COWBOY STATE BANK	RANCHESTER	WY	2	39,123	-209
906559	19266	N	FIRST NATIONAL BANK OF WYOMING	LARAMIE	WY	3	208,208	-361
912550	8724	SM	LUSK STATE BANK	LUSK	WY	1	38,260	604
547550	22639	SM	BANK OF COMMERCE	RAWLINS	WY	1	111,112	846
955959	12592	SM	SECURITY STATE BANK	BASIN	WY	4	246,866	1,640
22356	2226	N	FIRST NATIONAL BANK AND TRUST COMPANY	POWELL	WY	3	280,509	88
898458	23826	SM	BANK OF JACKSON HOLE	JACKSON	WY	10	438,494	2,523
542854	526	SM	FARMERS STATE BANK	PINE BLUFFS	WY	1	17,892	3
868956	2208	N	FIRST NATIONAL BANK OF BUFFALO, THE	BUFFALO	WY	2	187,337	1,205
550952	2229	N	ROCK SPRINGS NATIONAL BANK, THE	ROCK SPRINGS	WY	3	326,490	4,475
2396604	34148	SM	BANK OF STAR VALLEY, THE	AFTON	WY	3	112,468	1,176
24453	24334	SM	ROCKY MOUNTAIN BANK	WILSON	WY	4	344,542	50
3412417	58396	NM	JONAH BANK OF WYOMING	CASPER	WY	2	139,772	1,143
94755	1169	SM	SUNDANCE STATE BANK	SUNDANCE	WY	1	110,056	688
888253	16522	SM	1ST BANK	EVANSTON	WY	10	596,298	831
2806840	35220	N	WYOMING NATIONAL BANK	RIVERTON	WY	3	89,622	460
85052	1167	SM	UINTA BANK	MOUNTAIN VIEW	WY	1	62,136	80
64150	8718	NM	WYOMING BANK & TRUST	CHEYENNE	WY	2	93,726	1,245
