List of Banks in Peer Group -- 1 Insured commercial banks having assets greater than $100 billion

Reporting Period End Date	03/31/2024
Number of Banks in Peer Group	29

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
233031	12368	SM	REGIONS BANK	BIRMINGHAM	AL	1236	153,253,000	409,000
817824	6384	N	PNC BANK, NATIONAL ASSOCIATION	WILMINGTON	DE	2273	562,011,873	1,452,454
722777	29950	N	SANTANDER BANK, NATIONAL ASSOCIATION	WILMINGTON	DE	408	101,110,678	185,515
497404	18409	N	TD BANK, N.A.	WILMINGTON	DE	1180	370,235,403	34,716
210434	913	SM	NORTHERN TRUST COMPANY, THE	CHICAGO	IL	60	144,965,148	225,584
75633	16571	N	BMO BANK NATIONAL ASSOCIATION	CHICAGO	IL	970	266,692,028	682,897
35301	14	SM	STATE STREET BANK AND TRUST COMPANY	BOSTON	MA	13	295,407,000	534,000
480228	3510	N	BANK OF AMERICA, NATIONAL ASSOCIATION	CHARLOTTE	NC	3701	2,541,643,000	6,410,000
491224	11063	NM	FIRST-CITIZENS BANK & TRUST COMPANY	RALEIGH	NC	529	216,624,000	748,000
852320	9846	NM	TRUIST BANK	CHARLOTTE	NC	1911	535,207,000	1,224,000
2489805	34221	N	MORGAN STANLEY PRIVATE BANK, NATIONAL ASSOCIATION	PURCHASE	NY	1	206,632,000	511,000
501105	588	SM	MANUFACTURERS AND TRADERS TRUST COMPANY	BUFFALO	NY	956	211,213,346	547,506
694904	32541	N	FLAGSTAR BANK, NATIONAL ASSOCIATION	HICKSVILLE	NY	417	116,544,845	-306,490
2182786	33124	SM	GOLDMAN SACHS BANK USA	NEW YORK	NY	5	552,412,000	2,308,000
541101	639	SM	BANK OF NEW YORK MELLON, THE	NEW YORK	NY	16	332,550,000	664,000
12311	6560	N	HUNTINGTON NATIONAL BANK, THE	COLUMBUS	OH	972	193,276,279	481,875
504713	6548	N	U.S. BANK NATIONAL ASSOCIATION	CINCINNATI	OH	2266	647,112,253	1,411,196
280110	17534	N	KEYBANK NATIONAL ASSOCIATION	CLEVELAND	OH	961	189,508,071	278,031
852218	628	N	JPMORGAN CHASE BANK, NATIONAL ASSOCIATION	COLUMBUS	OH	4925	3,418,856,000	11,714,000
723112	6672	N	FIFTH THIRD BANK, NATIONAL ASSOCIATION	CINCINNATI	OH	1072	217,141,000	608,000
3303298	57957	N	CITIZENS BANK, NATIONAL ASSOCIATION	PROVIDENCE	RI	1024	222,776,067	337,943
476810	7213	N	CITIBANK, N.A.	SIOUX FALLS	SD	768	1,698,970,000	3,373,000
451965	3511	N	WELLS FARGO BANK, NATIONAL ASSOCIATION	SIOUX FALLS	SD	4236	1,717,172,000	5,363,000
3150447	57450	SM	CHARLES SCHWAB BANK, SSB	WESTLAKE	TX	1	306,917,000	167,000
1456501	32992	N	MORGAN STANLEY BANK, N.A.	SALT LAKE CITY	UT	1	213,127,000	1,260,000
3212149	57565	NM	UBS BANK USA	SALT LAKE CITY	UT	1	111,340,587	343,560
3284070	57803	SM	ALLY BANK	SANDY	UT	1	188,493,000	360,000
413208	57890	N	HSBC BANK USA, NATIONAL ASSOCIATION	TYSONS	VA	23	163,602,585	332,748
112837	4297	N	CAPITAL ONE, NATIONAL ASSOCIATION	MC LEAN	VA	271	479,530,413	1,388,136
