List of Banks in Peer Group -- 101 Insured savings banks having assets greater than $1 billion

Reporting Period End Date	12/31/2010
Number of Banks in Peer Group	53

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
633501	18203	SI	ROCKVILLE BANK	ROCKVILLE	CT	21	1,609,817	12,553
443205	18190	SI	UNION SAVINGS BANK	DANBURY	CT	31	2,452,976	5,240
587800	17943	SI	LIBERTY BANK	MIDDLETOWN	CT	43	3,205,259	16,670
882701	18213	SI	FAIRFIELD COUNTY BANK	RIDGEFIELD	CT	22	1,598,735	1,110
958204	18204	SI	FIRST COUNTY BANK	STAMFORD	CT	16	1,301,101	2,564
362007	18261	SI	NEWALLIANCE BANK	NEW HAVEN	CT	82	8,663,480	69,075
1009804	18208	SI	FARMINGTON BANK	FARMINGTON	CT	15	1,397,429	4,869
272302	90250	SI	INSTITUTION FOR SAVINGS IN NEWBURYPORT AND ITS VICINITY	NEWBURYPORT	MA	7	1,101,519	11,201
13103	23622	SI	BRISTOL COUNTY SAVINGS BANK	TAUNTON	MA	13	1,196,679	6,799
888002	90183	SI	MIDDLESEX SAVINGS BANK	NATICK	MA	31	3,988,489	25,606
619701	90215	SI	AVIDIA BANK	HUDSON	MA	10	983,568	3,003
279105	23293	SI	FLORENCE SAVINGS BANK	FLORENCE	MA	9	1,074,801	4,061
664206	23287	SI	CAPE COD FIVE CENTS SAVINGS BANK	HARWICH PORT	MA	14	1,946,070	12,574
618807	23296	SI	SALEM FIVE CENTS SAVINGS BANK	SALEM	MA	23	2,707,561	17,631
1000100	33510	SI	EAST BOSTON SAVINGS BANK	BOSTON	MA	19	1,693,180	12,741
886204	23298	SI	WATERTOWN SAVINGS BANK	WATERTOWN	MA	9	1,055,546	451
750305	90185	SI	DANVERSBANK	DANVERS	MA	26	2,508,336	20,292
473501	23621	SI	BERKSHIRE BANK	PITTSFIELD	MA	44	2,703,108	14,021
709602	90290	SI	UNIBANK FOR SAVINGS	WHITINSVILLE	MA	8	941,013	5,981
758703	17870	SI	CAMBRIDGE SAVINGS BANK	CAMBRIDGE	MA	15	2,158,980	14,440
193809	23620	SI	DEDHAM INSTITUTION FOR SAVINGS	DEDHAM	MA	11	1,030,456	6,579
673909	90211	SI	HINGHAM INSTITUTION FOR SAVINGS	HINGHAM	MA	10	975,702	10,228
689209	23992	SI	COUNTRY BANK FOR SAVINGS	WARE	MA	15	1,407,901	7,965
613400	90213	SI	PEOPLESBANK	HOLYOKE	MA	17	1,573,270	8,648
419406	18408	SI	BANGOR SAVINGS BANK	BANGOR	ME	55	2,346,458	17,538
239275	31445	SI	MACON BANK, INC.	FRANKLIN	NC	11	1,057,392	-13,900
265407	18012	SI	LACONIA SAVINGS BANK	LACONIA	NH	19	1,042,194	4,932
797775	30052	SI	BOILING SPRINGS SAVINGS BANK	RUTHERFORD	NJ	17	1,344,422	4,625
35570	28892	SI	INVESTORS SAVINGS BANK	SHORT HILLS	NJ	83	8,873,318	61,905
204004	12010	SI	PROVIDENT BANK, THE	JERSEY CITY	NJ	82	6,782,937	49,208
106377	28395	SI	CAPE BANK	CAPE MAY COURT HOUSE	NJ	17	1,066,744	4,108
2376	28866	SI	ORITANI BANK	TOWNSHIP OF WASHINGTON	NJ	18	2,260,692	13,548
373601	12013	SI	UNION COUNTY SAVINGS BANK	ELIZABETH	NJ	4	1,273,773	20,121
249612	16068	SI	APPLE BANK FOR SAVINGS	MANHASSET	NY	49	6,747,669	36,476
859712	16026	SI	RIDGEWOOD SAVINGS BANK	RIDGEWOOD	NY	39	4,493,665	14,309
3363957	58168	SI	EMIGRANT SAVINGS BANK - MANHATTAN	NEW YORK	NY	10	1,209,657	9,107
3363966	58170	SI	EMIGRANT SAVINGS BANK - BRONX/WESTCHESTER	BRONX	NY	8	1,053,085	4,224
137915	12054	SI	EMIGRANT BANK	NEW YORK	NY	2	10,033,849	74,287
694904	16022	SI	NEW YORK COMMUNITY BANK	FLUSHING	NY	245	39,424,616	556,498
932277	28114	SI	HOME SAVINGS AND LOAN COMPANY OF YOUNGSTOWN, OHIO, THE	YOUNGSTOWN	OH	38	2,299,115	-35,893
932978	26647	SI	FIRSTRUST SAVINGS BANK	CONSHOHOCKEN	PA	23	2,323,490	12,254
810919	15697	SI	BENEFICIAL MUTUAL SAVINGS BANK	PHILADELPHIA	PA	65	4,854,499	-9,240
224178	27708	SI	ESB BANK	ELLWOOD CITY	PA	23	1,904,136	15,976
249872	30237	SI	PARKVALE SAVINGS BANK	MONROEVILLE	PA	47	1,874,358	-14,859
442776	27942	SI	ABINGTON SAVINGS BANK	JENKINTOWN	PA	18	1,259,006	7,730
3041974	57282	SI	CITIZENS BANK OF PENNSYLVANIA	PHILADELPHIA	PA	388	31,135,095	52,632
328777	30401	SI	FIRST SAVINGS BANK OF PERKASIE	PERKASIE	PA	12	1,059,930	-1,059
1002878	28178	SI	NORTHWEST SAVINGS BANK	WARREN	PA	165	8,125,165	59,421
546003	18129	SI	BANKNEWPORT	NEWPORT	RI	12	1,092,559	7,143
1176881	32574	SI	BEAL BANK, SSB	PLANO	TX	8	3,573,271	71,154
258771	32489	SI	HOMESTREET BANK	SEATTLE	WA	21	2,862,742	-29,333
768074	29058	SI	FIRST SAVINGS BANK NORTHWEST	RENTON	WA	1	1,283,021	-51,079
310978	28513	SI	WATERSTONE BANK	WAUWATOSA	WI	9	1,845,696	-2,790
