List of Banks in Peer Group -- 101 Insured savings banks having assets greater than $1 billion

Reporting Period End Date	09/30/2018
Number of Banks in Peer Group	122

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
961576	30953	SI	EL DORADO SAVINGS BANK, F.S.B.	PLACERVILLE	CA	35	2,193,404	14,325
2917317	35546	SI	BOFI FEDERAL BANK	SAN DIEGO	CA	2	9,576,994	137,880
1883321	26312	SI	FIRST AMERICAN TRUST, FSB	SANTA ANA	CA	10	3,588,038	40,588
773470	32282	SI	MALAGA BANK, FSB	PALOS VERDES ESTATES	CA	5	1,048,544	11,849
631570	30879	SI	PROVIDENT SAVINGS BANK, F.S.B.	RIVERSIDE	CA	14	1,165,770	5,516
1718469	33111	SI	COLORADO FEDERAL SAVINGS BANK	GREENWOOD VILLAGE	CO	1	1,854,603	12,343
407506	18198	SI	ION BANK	NAUGATUCK	CT	18	1,266,409	7,617
882701	18213	SI	FAIRFIELD COUNTY BANK	RIDGEFIELD	CT	16	1,480,140	8,667
958204	18204	SI	FIRST COUNTY BANK	STAMFORD	CT	19	1,620,652	7,255
443205	18190	SI	UNION SAVINGS BANK	DANBURY	CT	26	2,195,368	16,584
1009804	18208	SI	FARMINGTON BANK	FARMINGTON	CT	1	3,199,959	19,061
120609	18258	SI	THOMASTON SAVINGS BANK	THOMASTON	CT	13	1,014,022	3,991
626101	15912	SI	SAVINGS BANK OF DANBURY	DANBURY	CT	16	1,028,454	8,364
587800	17943	SI	LIBERTY BANK	MIDDLETOWN	CT	55	4,725,161	41,637
507509	18199	SI	NEWTOWN SAVINGS BANK	NEWTOWN	CT	15	1,264,819	6,020
345309	18238	SI	CHELSEA GROTON BANK	NORWICH	CT	14	1,073,510	9,299
633501	18203	SI	UNITED BANK	HARTFORD	CT	54	7,124,482	53,051
437914	17838	SI	WILMINGTON SAVINGS FUND SOCIETY, FSB	WILMINGTON	DE	58	6,947,464	88,740
2735146	34775	SI	TIAA, FSB	JACKSONVILLE	FL	10	34,210,016	191,797
384278	31313	SI	FIRST FEDERAL BANK	LAKE CITY	FL	22	1,935,016	19,483
54973	32526	SI	AMERICAN SAVINGS BANK, F.S.B.	HONOLULU	HI	48	6,907,093	60,742
2654911	34507	SI	PRINCIPAL BANK	DES MOINES	IA	1	2,676,548	37,865
2590037	34617	SI	STATE FARM BANK, FSB	BLOOMINGTON	IL	1	16,890,348	22,082
568470	29523	SI	PEOPLES BANK SB	MUNSTER	IN	19	970,021	6,339
762474	30895	SI	FIDELITY BANK	WICHITA	KS	21	2,422,157	14,604
968070	27981	SI	CAPITOL FEDERAL SAVINGS BANK	TOPEKA	KS	58	10,302,540	67,712
613400	90213	SI	PEOPLESBANK	HOLYOKE	MA	19	2,455,855	16,867
1000100	33510	SI	EAST BOSTON SAVINGS BANK	BOSTON	MA	34	5,484,749	43,512
664206	23287	SI	CAPE COD FIVE CENTS SAVINGS BANK	HARWICH PORT	MA	19	3,314,285	18,379
818401	90235	SI	MAIN STREET BANK	MARLBOROUGH	MA	13	1,007,727	5,108
673909	90211	SI	HINGHAM INSTITUTION FOR SAVINGS	HINGHAM	MA	11	2,289,328	25,735
888002	90183	SI	MIDDLESEX SAVINGS BANK	NATICK	MA	30	4,720,179	33,432
193809	23620	SI	DEDHAM INSTITUTION FOR SAVINGS	DEDHAM	MA	13	1,451,304	7,864
618807	23296	SI	SALEM FIVE CENTS SAVINGS BANK	SALEM	MA	36	4,767,756	36,387
40499	59070	SI	HARBORONE BANK	BROCKTON	MA	15	2,723,448	12,171
923707	90227	SI	LOWELL FIVE CENT SAVINGS BANK, THE	LOWELL	MA	14	1,119,439	6,971
272302	90250	SI	INSTITUTION FOR SAVINGS IN NEWBURYPORT AND ITS VICINITY	NEWBURYPORT	MA	16	3,350,059	30,429
264772	32551	SI	RADIUS BANK	BOSTON	MA	1	1,183,678	9,187
892205	90300	SI	WESTFIELD BANK	WESTFIELD	MA	22	2,098,685	13,860
279105	23293	SI	FLORENCE BANK	FLORENCE	MA	10	1,339,237	9,014
709602	90290	SI	UNIBANK FOR SAVINGS	WHITINSVILLE	MA	14	1,752,322	9,467
