List of Banks in Peer Group -- 101M Mutually-owned insured savings banks having assets greater than $1 billion

Reporting Period End Date	12/31/2019
Number of Banks in Peer Group	36

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
882701	18213	SI	FAIRFIELD COUNTY BANK	RIDGEFIELD	CT	16	1,527,812	10,354
958204	18204	SI	FIRST COUNTY BANK	STAMFORD	CT	18	1,698,753	8,544
587800	17943	SI	LIBERTY BANK	MIDDLETOWN	CT	60	5,307,207	65,285
626101	15912	SI	SAVINGS BANK OF DANBURY	DANBURY	CT	16	1,077,162	11,810
345309	18238	SI	CHELSEA GROTON BANK	GROTON	CT	14	1,141,439	18,099
120609	18258	SI	THOMASTON SAVINGS BANK	THOMASTON	CT	14	1,094,457	5,727
613400	90213	SI	PEOPLESBANK	HOLYOKE	MA	22	2,896,731	25,160
664206	23287	SI	CAPE COD FIVE CENTS SAVINGS BANK	HARWICH PORT	MA	21	3,523,952	26,889
818401	90235	SI	MAIN STREET BANK	MARLBOROUGH	MA	13	1,028,563	5,280
673909	90211	SI	HINGHAM INSTITUTION FOR SAVINGS	HINGHAM	MA	11	2,505,431	38,927
689209	23992	SI	COUNTRY BANK FOR SAVINGS	WARE	MA	15	1,668,482	13,748
618807	23296	SI	SALEM FIVE CENTS SAVINGS BANK	SALEM	MA	36	5,121,838	63,055
173575	26336	SI	VILLAGE BANK, THE	AUBURNDALE	MA	8	1,232,275	10,319
888002	90183	SI	MIDDLESEX SAVINGS BANK	NATICK	MA	30	4,880,027	42,276
272302	90250	SI	INSTITUTION FOR SAVINGS IN NEWBURYPORT AND ITS VICINITY	NEWBURYPORT	MA	18	3,571,638	71,206
709602	90290	SI	UNIBANK FOR SAVINGS	WHITINSVILLE	MA	14	1,807,082	9,754
619701	90215	SI	AVIDIA BANK	HUDSON	MA	10	1,642,320	13,485
527600	90259	SI	NORTH EASTON SAVINGS BANK	SOUTH EASTON	MA	18	1,055,455	4,253
771609	90196	SI	BAYCOAST BANK	SWANSEA	MA	22	1,750,399	13,930
375502	90141	SI	PROVIDENT BANK, THE	AMESBURY	MA	7	1,040,034	10,707
67209	90251	SI	NEWBURYPORT FIVE CENTS SAVINGS BANK	NEWBURYPORT	MA	11	958,427	3,361
419406	18408	SI	BANGOR SAVINGS BANK	BANGOR	ME	62	4,528,241	34,020
583905	17897	SI	KENNEBEC SAVINGS BANK	AUGUSTA	ME	5	1,092,785	17,715
339607	17743	SI	SACO & BIDDEFORD SAVINGS INSTITUTION	SACO	ME	6	1,017,487	7,032
241607	17748	SI	GORHAM SAVINGS BANK	GORHAM	ME	13	1,208,498	7,986
936583	58536	SI	THINK MUTUAL BANK	ROCHESTER	MN	11	1,647,890	13,580
657271	27774	SI	GATE CITY BANK	FARGO	ND	38	2,289,973	20,020
373601	12013	SI	UNION COUNTY SAVINGS BANK	ELIZABETH	NJ	4	1,765,107	3,711
845573	30076	SI	SPENCER SAVINGS BANK, SAVINGS AND LOAN ASSOCIATION	ELMWOOD PARK	NJ	22	3,010,690	16,952
29878	30303	SI	MASPETH FEDERAL SAVINGS AND LOAN ASSOCIATION	MASPETH	NY	6	1,930,348	22,795
859712	16026	SI	RIDGEWOOD SAVINGS BANK	RIDGEWOOD	NY	39	5,653,398	44,803
282075	29520	SI	WASHINGTON FINANCIAL BANK	WASHINGTON	PA	11	1,181,677	10,451
876700	17764	SI	CENTREVILLE BANK	WEST WARWICK	RI	7	1,247,723	26,170
105473	29683	SI	HOME FEDERAL BANK OF TENNESSEE	KNOXVILLE	TN	23	2,202,740	11,821
809771	28116	SI	YAKIMA FEDERAL SAVINGS AND LOAN ASSOCIATION	YAKIMA	WA	10	1,789,060	21,052
376273	28679	SI	NORTH SHORE BANK, F.S.B.	BROOKFIELD	WI	44	2,017,419	12,400
