List of Banks in Peer Group -- 101S Stock-owned insured savings banks having assets greater than $1 billion

Reporting Period End Date	06/30/2005
Number of Banks in Peer Group	29

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
362007	18261	SI	NEWALLIANCE BANK	NEW HAVEN	CT	64	6,391,642	28,079
586205	18197	SI	CITIZENS BANK OF CONNECTICUT	NEW LONDON	CT	48	4,020,275	28,443
613307	27334	SI	PEOPLE'S BANK	BRIDGEPORT	CT	155	10,836,798	68,405
473501	23621	SI	BERKSHIRE BANK	PITTSFIELD	MA	24	1,564,975	-1,371
750305	90185	SI	DANVERSBANK	DANVERS	MA	12	1,076,477	3,131
758703	17870	SI	CAMBRIDGE SAVINGS BANK	CAMBRIDGE	MA	14	1,981,646	7,209
791474	30005	SI	CITIZENS FIRST SAVINGS BANK	PORT HURON	MI	19	1,268,244	4,399
62101	6214	SI	CITIZENS BANK NEW HAMPSHIRE	MANCHESTER	NH	76	8,526,749	69,895
2376	28866	SI	ORITANI SAVINGS BANK	WASHINGTON TOWNSHIP	NJ	21	1,025,352	5,294
204004	12010	SI	PROVIDENT BANK, THE	JERSEY CITY	NJ	78	6,245,704	27,540
35570	28892	SI	INVESTORS SAVINGS BANK	SHORT HILLS	NJ	47	5,143,231	-21,956
797775	30052	SI	BOILING SPRINGS SAVINGS BANK	RUTHERFORD	NJ	13	1,134,462	5,442
1003606	16018	SI	INDEPENDENCE COMMUNITY BANK	BROOKLYN	NY	122	17,791,393	108,035
694904	16022	SI	NEW YORK COMMUNITY BANK	FLUSHING	NY	139	24,640,384	185,887
249612	16068	SI	APPLE BANK FOR SAVINGS	MANHASSET	NY	49	6,868,797	30,421
28013	28710	SI	NORTHFIELD SAVINGS BANK	STATEN ISLAND	NY	19	1,531,395	7,561
137915	12054	SI	EMIGRANT SAVINGS BANK	NEW YORK	NY	37	9,881,663	72,129
932277	28114	SI	HOME SAVINGS AND LOAN COMPANY OF YOUNGSTOWN, OHIO, THE	YOUNGSTOWN	OH	36	2,278,466	10,698
932978	26647	SI	FIRSTRUST SAVINGS BANK	CONSHOHOCKEN	PA	24	2,024,412	11,609
1001273	28166	SI	KEYSTONE NAZARETH BANK & TRUST COMPANY	BETHLEHEM	PA	58	2,922,574	11,211
1002878	28178	SI	NORTHWEST SAVINGS BANK	WARREN	PA	145	6,096,917	31,414
810919	15697	SI	BENEFICIAL MUTUAL SAVINGS BANK	PHILADELPHIA	PA	38	2,358,211	6,772
3041974	57282	SI	CITIZENS BANK OF PENNSYLVANIA	PHILADELPHIA	PA	392	30,721,066	136,098
249872	30237	SI	PARKVALE SAVINGS BANK	MONROEVILLE	PA	46	1,888,534	7,053
224178	27708	SI	ESB BANK	ELLWOOD CITY	PA	23	1,603,692	6,795
295552	26870	SI	FRANKLIN BANK, S.S.B.	HOUSTON	TX	25	3,910,300	15,161
508878	22977	SI	HORIZON BANK	BELLINGHAM	WA	20	979,117	7,167
564771	19835	SI	FIRST MUTUAL BANK	BELLEVUE	WA	12	1,051,786	5,818
258771	32489	SI	HOMESTREET BANK	SEATTLE	WA	19	1,778,037	9,653
