List of Banks in Peer Group -- 102 Insured savings banks having assets between $300 million and $1 billion

Reporting Period End Date	03/31/2020
Number of Banks in Peer Group	192

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
542667	19525	SI	MT. MCKINLEY BANK	FAIRBANKS	AK	5	459,604	1,104
934673	30167	SI	CULLMAN SAVINGS BANK	CULLMAN	AL	4	303,211	823
26176	30306	SI	BROADWAY FEDERAL BANK, F.S.B.	LOS ANGELES	CA	3	476,710	152
780562	25648	SI	INTERNATIONAL CITY BANK	LONG BEACH	CA	1	374,786	-1,998
208570	30722	SI	UNIVERSAL BANK	WEST COVINA	CA	5	387,618	110
92676	29632		WINDSOR FEDERAL SAVINGS AND LOAN ASSOCIATION	WINDSOR	CT	8	548,337	776
65205	16636	SI	TORRINGTON SAVINGS BANK, THE	TORRINGTON	CT	8	828,270	-6,272
311603	18200	SI	DIME BANK	NORWICH	CT	12	894,958	769
831008	18194	SI	GUILFORD SAVINGS BANK, THE	GUILFORD	CT	6	830,425	-1,134
258306	16101	SI	MILFORD BANK THE	MILFORD	CT	8	455,473	235
113003	18227	SI	STAFFORD SAVINGS BANK	STAFFORD SPRINGS	CT	3	304,269	-17,330
545604	18229	SI	NORTHWEST COMMUNITY BANK	WINSTED	CT	5	415,318	-1,115
961400	17262	SI	ESSEX SAVINGS BANK	ESSEX	CT	6	419,293	90
820301	18237	SI	JEWETT CITY SAVINGS BANK	JEWETT CITY	CT	6	304,229	-350
73116	17123	SI	ARTISANS' BANK	WILMINGTON	DE	13	547,257	360
321273	29510	SI	NEWTON FEDERAL BANK	COVINGTON	GA	3	641,037	-1,067
88231	16418	SI	BANKSOUTH	GREENSBORO	GA	6	727,479	3,180
67870	29331	SI	TC FEDERAL BANK	THOMASVILLE	GA	2	316,257	257
203043	4432	SI	MIDWEST HERITAGE BANK, FSB	WEST DES MOINES	IA	7	304,391	388
582971	28845	SI	FIRST FEDERAL SAVINGS BANK OF TWIN FALLS	TWIN FALLS	ID	12	716,089	1,884
403870	29675	SI	IROQUOIS FEDERAL SAVINGS AND LOAN ASSOCIATION	WATSEKA	IL	7	681,478	864
447070	28747	SI	HOYNE SAVINGS BANK	CHICAGO	IL	7	444,454	2
520777	28841	SI	COMMUNITY SAVINGS BANK	CHICAGO	IL	1	404,424	158
2806877	35518	SI	FEDERAL SAVINGS BANK, THE	CHICAGO	IL	2	581,984	11,646
483274	29809	SI	FIRST SAVINGS BANK OF HEGEWISCH	CHICAGO	IL	14	686,304	430
771878	28924	SI	FIRST FEDERAL SAVINGS BANK	OTTAWA	IL	12	377,029	42
867070	27664	SI	STERLING FEDERAL BANK, FEDERAL SAVINGS BANK	STERLING	IL	9	455,822	151
133971	29800	SI	LISLE SAVINGS BANK	LISLE	IL	2	512,918	718
757377	29009	SI	LIBERTY BANK FOR SAVINGS	CHICAGO	IL	5	840,616	738
725077	27989	SI	OTTAWA SAVINGS BANK	OTTAWA	IL	3	304,346	99
790271	29227	SI	WASHINGTON SAVINGS BANK	EFFINGHAM	IL	3	390,826	511
649874	28068	SI	ROYAL SAVINGS BANK	CHICAGO	IL	9	395,585	-381
587677	28401	SI	EUREKA SAVINGS BANK	LA SALLE	IL	4	321,841	479
391575	29566	SI	UNITED FIDELITY BANK, FSB	EVANSVILLE	IN	16	995,026	-949
1015270	29881	SI	HOME BANK SB	MARTINSVILLE	IN	5	330,225	477
257578	31516	SI	FIRST FEDERAL SAVINGS BANK	ROCHESTER	IN	6	459,186	1,411
697147	17736	SI	TERRE HAUTE SAVINGS BANK	TERRE HAUTE	IN	8	348,336	338
2819242	35161	SI	MURRAY BANK, THE	MURRAY	KY	3	317,700	954
517674	30441	SI	FIRST FEDERAL BANK OF LOUISIANA	LAKE CHARLES	LA	16	909,423	1,096
251978	32459	SI	HOMELAND FEDERAL SAVINGS BANK	COLUMBIA	LA	4	347,395	1,213
345877	29700		CENTURY NEXT BANK	RUSTON	LA	8	491,962	1,062
255574	28316	SI	FIDELITY BANK	NEW ORLEANS	LA	17	757,109	666
837970	27697	SI	FIFTH DISTRICT SAVINGS BANK	NEW ORLEANS	LA	7	437,443	425
804374	27654	SI	HOME FEDERAL BANK	SHREVEPORT	LA	8	458,175	1,045
822275	28213	SI	WINTER HILL BANK, FSB	SOMERVILLE	MA	4	368,224	218
837608	17797	SI	ROLLSTONE BANK & TRUST	FITCHBURG	MA	9	704,182	-464
765505	90297	SI	WEBSTER FIVE CENTS SAVINGS BANK	WEBSTER	MA	7	886,518	1,767
790703	33645	SI	LEE BANK	LEE	MA	5	397,392	-1,090
1013070	26555	SI	NORWOOD CO-OPERATIVE BANK	NORWOOD	MA	1	604,845	1,265
