List of Banks in Peer Group -- 102S Stock-owned insured savings banks having assets between $300 million and $1 billion

Reporting Period End Date	03/31/2008
Number of Banks in Peer Group	59

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
407506	18198	SI	NAUGATUCK SAVINGS BANK	NAUGATUCK	CT	13	734,875	1,359
1009804	18208	SI	FARMINGTON SAVINGS BANK	FARMINGTON	CT	12	964,598	721
967877	29952	SI	GEORGE WASHINGTON SAVINGS BANK	ORLAND PARK	IL	2	383,010	1,166
700672	29031	SI	AMERIANA BANK, SB	NEW CASTLE	IN	10	432,158	586
568470	29523	SI	PEOPLES BANK SB	MUNSTER	IN	9	635,112	1,681
447100	90282	SI	SPENCER SAVINGS BANK	SPENCER	MA	5	328,788	649
351207	90265	SI	LEGACY BANKS	PITTSFIELD	MA	16	888,241	293
833404	23286	SI	FALL RIVER FIVE CENTS SAVINGS BANK	FALL RIVER	MA	13	670,991	555
911405	23288	SI	RIVER BANK	NORTH ANDOVER	MA	6	639,576	949
685407	22089	SI	MASSBANK	READING	MA	15	797,475	203
760108	90238	SI	STRATA BANK	MEDWAY	MA	10	415,761	240
699105	90169	SI	BRIDGEWATER SAVINGS BANK	RAYNHAM	MA	8	389,655	263
842004	90200	SI	BENJAMIN FRANKLIN BANK	FRANKLIN	MA	11	935,524	1,058
772008	90303	SI	SOUTH SHORE SAVINGS BANK	SOUTH WEYMOUTH	MA	15	925,363	1,064
97804	90253	SI	HOOSAC BANK	NORTH ADAMS	MA	2	387,360	588
632607	90206	SI	GREENFIELD SAVINGS BANK	GREENFIELD	MA	6	548,627	662
157904	90283	SI	HAMPDEN BANK	SPRINGFIELD	MA	8	496,226	332
794608	90179	SI	CHICOPEE SAVINGS BANK	CHICOPEE	MA	6	460,086	214
332402	90270	SI	RANDOLPH SAVINGS BANK	RANDOLPH	MA	6	362,385	281
289702	17658	SI	NORWAY SAVINGS BANK	NORWAY	ME	20	874,685	2,156
132107	17751	SI	ANDROSCOGGIN SAVINGS BANK	LEWISTON	ME	12	605,523	864
137205	19531	SI	MACHIAS SAVINGS BANK	MACHIAS	ME	13	845,298	1,605
621375	30792	SI	NORTHWESTERN BANK	TRAVERSE CITY	MI	26	795,164	1,304
366078	28593	SI	STURGIS BANK & TRUST COMPANY	STURGIS	MI	10	359,224	706
416674	29771	SI	KS BANK, INC.	SMITHFIELD	NC	9	320,314	459
341178	32347	SI	BLUE RIDGE SAVINGS BANK, INC	ASHEVILLE	NC	1	307,993	-496
477303	18031	SI	WOODSVILLE GUARANTY SAVINGS BANK	WOODSVILLE	NH	9	325,802	418
265407	18012	SI	LACONIA SAVINGS BANK	LACONIA	NH	17	855,707	628
148809	12017	SI	RSI BANK	RAHWAY	NJ	4	431,898	202
1012671	29875	SI	NVE BANK	ENGLEWOOD	NJ	12	543,246	418
459671	30470	SI	MANASQUAN SAVINGS BANK	MANASQUAN	NJ	8	561,688	615
106377	28395	SI	CAPE BANK	CAPE MAY COURT HOUSE	NJ	18	958,009	-2,271
30418	27041	SI	COLLEGE SAVINGS BANK	PRINCETON	NJ	1	515,987	-392
3363939	58169	SI	EMIGRANT SAVINGS BANK - BROOKLYN/QUEE	BROOKLYN	NY	7	782,722	607
3363920	58167	SI	EMIGRANT SAVINGS BANK - LONG ISLAND	WESTBURY	NY	7	496,278	286
723710	15975	SI	ONEIDA SAVINGS BANK, THE	ONEIDA	NY	12	524,396	414
729310	15977	SI	PATHFINDER BANK	OSWEGO	NY	5	322,173	418
2797359	34969	SI	FIRST CENTRAL SAVINGS BANK	GLEN COVE	NY	9	642,483	-641
291273	32287	SI	GEAUGA SAVINGS BANK	NEWBURY	OH	2	528,990	967
943675	29011	SI	MECHANICS SAVINGS BANK, THE	MANSFIELD	OH	5	308,067	605
169073	27148	SI	NOVA SAVINGS BANK	BERWYN	PA	8	492,758	375
736877	28038	SI	FIDELITY SAVINGS BANK	PITTSBURGH	PA	13	726,476	1,213
534877	27943	SI	BRENTWOOD BANK	BETHEL PARK	PA	5	439,984	-23
842376	27760	SI	WEST VIEW SAVINGS BANK	PITTSBURGH	PA	5	419,119	967
641775	30011	SI	PRUDENTIAL SAVINGS BANK	PHILADELPHIA	PA	7	472,294	-421
497972	31595	SI	FIRST STAR BANK	BETHLEHEM	PA	8	557,089	719
1014778	29882	SI	GREATER DELAWARE VALLEY SAVINGS BANK DBA ALLIANCE BANK	BROOMALL	PA	9	426,543	36
139478	31461	SI	HARLEYSVILLE SAVINGS BANK	HARLEYSVILLE	PA	7	798,697	1,123
811279	27757	SI	STANDARD BANK, PASB	EXPORT	PA	10	341,593	640
2409997	34137	SI	STATE OF FRANKLIN SAVINGS BANK	JOHNSON CITY	TN	6	370,005	326
