List of Banks in Peer Group -- 103 Insured savings banks having assets between $100 million and $300 million

Reporting Period End Date	03/31/2017
Number of Banks in Peer Group	229

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
814074	31127	SI	FIRST FEDERAL BANK, A FSB	TUSCALOOSA	AL	3	102,105	89
934673	30167	SI	CULLMAN SAVINGS BANK	CULLMAN	AL	4	277,044	681
1893049	33497	SI	NORDSTROM FSB	SCOTTSDALE	AZ	1	257,654	26,362
1493319	33103	SI	GATEWAY BANK, F.S.B.	OAKLAND	CA	1	134,809	-145
2921659	35164	SI	CAPITAL BANK AND TRUST COMPANY	IRVINE	CA	1	165,566	8,111
229070	31406	SI	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF SAN RAFAEL	SAN RAFAEL	CA	5	189,172	184
206473	30707	SI	EQUITABLE SAVINGS AND LOAN ASSOCIATION	STERLING	CO	10	173,281	195
256076	28315	SI	RIO GRANDE SAVINGS AND LOAN ASSOCIATION	MONTE VISTA	CO	3	101,311	71
313175	29439	SI	MORGAN FEDERAL BANK	FORT MORGAN	CO	1	113,201	119
388874	30388	SI	GUNNISON SAVINGS AND LOAN ASSOCIATION	GUNNISON	CO	2	107,052	42
3148033	57531	SI	GRAND MOUNTAIN BANK, FSB	GRANBY	CO	4	100,887	75
945071	28208	SI	SAN LUIS VALLEY FEDERAL BANK	ALAMOSA	CO	3	260,345	521
890603	18223	SI	COLLINSVILLE SAVINGS SOCIETY	COLLINSVILLE	CT	2	156,505	177
820301	18237	SI	JEWETT CITY SAVINGS BANK	JEWETT CITY	CT	5	271,627	342
822408	18209	SI	LITCHFIELD BANCORP	LITCHFIELD	CT	5	242,965	198
113003	18227	SI	STAFFORD SAVINGS BANK	STAFFORD SPRINGS	CT	3	230,244	885
221775	31823	SI	INTERAMERICAN BANK, A FEDERAL SAVINGS BANK	MIAMI	FL	5	197,794	218
2224613	33925	SI	MACKINAC SAVINGS BANK, F.S.B.	BOYNTON BEACH	FL	4	108,795	124
3218280	57559	SI	OCULINA BANK, THE	VERO BEACH	FL	9	288,894	497
2992501	35027	SI	CORNERSTONE BANK	ATLANTA	GA	3	242,860	-205
1163283	27153	SI	CITIZENS BANK AND TRUST, INC.	TRENTON	GA	3	100,942	222
828174	29164	SI	FIRST FEDERAL SAVINGS & LOAN ASSOCIATION OF VALDOSTA	VALDOSTA	GA	3	168,595	95
321273	29510	SI	NEWTON FEDERAL BANK	COVINGTON	GA	3	252,272	414
126375	29772	SI	VIDALIA FEDERAL SAVINGS BANK	VIDALIA	GA	2	231,454	232
67870	29331	SI	THOMAS COUNTY FEDERAL SAVINGS & LOAN ASSOCIATION	THOMASVILLE	GA	1	248,134	1,148
381932	16246	SI	COMMERCIAL BANKING COMPANY	VALDOSTA	GA	5	236,141	375
318947	20761	SI	HERITAGE FIRST BANK	ROME	GA	3	123,195	174
364270	30692	SI	BANKPACIFIC, LTD.	HAGATNA	GU	6	139,929	130
203043	4432	SI	MIDWEST HERITAGE BANK FSB	WEST DES MOINES	IA	7	262,589	1,023
935577	28989	SI	WCF FINANCIAL BANK	WEBSTER CITY	IA	2	119,687	109
910873	27993	SI	PROSPECT FEDERAL SAVINGS BANK	WORTH	IL	4	238,062	-1,862
