List of Banks in Peer Group -- 103M Mutually-owned insured savings banks having assets between $100 million and $300 million

Reporting Period End Date	09/30/2024
Number of Banks in Peer Group	77

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
229070	31406	SI	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF SAN RAFAEL	SAN RAFAEL	CA	5	228,396	-383
388874	30388	SI	GUNNISON SAVINGS AND LOAN ASSOCIATION	GUNNISON	CO	1	104,182	-185
256076	28315	SI	RG BANK, A SAVINGS AND LOAN ASSOCIATION	MONTE VISTA	CO	3	134,047	149
126375	29772	SI	VIDALIA FEDERAL SAVINGS BANK	VIDALIA	GA	2	217,945	-1,810
156970	29357	SI	FAMILY BANK	PELHAM	GA	3	147,757	1,259
828174	29164	SI	FIRST FEDERAL SAVINGS & LOAN ASSOCIATION OF VALDOSTA	VALDOSTA	GA	3	227,280	1,222
658474	28103	SI	COLLINSVILLE BUILDING AND LOAN ASSOCIATION	COLLINSVILLE	IL	1	122,721	46
441078	30819	SI	COMMUNITY PARTNERS SAVINGS BANK	SALEM	IL	3	249,722	229
656779	27767	SI	UNION FEDERAL SAVINGS AND LOAN ASSOCIATION	KEWANEE	IL	7	151,422	117
467470	28425	SI	CENTRAL FEDERAL SAVINGS AND LOAN ASSOCIATION	CICERO	IL	3	199,448	4
218878	27723	SI	SECURITY BANK, S.B.	SPRINGFIELD	IL	3	216,870	865
324975	29535	SI	DEWITT SAVINGS BANK	CLINTON	IL	2	142,601	-14
615879	27910	SI	CENTRAL SAVINGS, F.S.B.	CHICAGO	IL	4	110,618	494
708379	28925	SI	SECURITY SAVINGS BANK	MONMOUTH	IL	2	248,141	981
142179	30357	SI	STREATOR HOME SAVINGS BANK	STREATOR	IL	1	164,255	-86
399973	29645	SI	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF CENTRAL ILLINOIS, S.B.	SHELBYVILLE	IL	3	205,715	1,819
412872	28478	SI	FARMERS AND MECHANICS FEDERAL SAVINGS BANK	BLOOMFIELD	IN	3	128,202	-775
677970	29933	SI	UNION SAVINGS AND LOAN ASSOCIATION	CONNERSVILLE	IN	3	242,717	1,324
921879	30058	SI	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF GREENSBURG	GREENSBURG	IN	3	172,477	89
158376	28769	SI	FIRST FEDERAL SAVINGS BANK OF ANGOLA	ANGOLA	IN	1	139,425	730
946274	29024	SI	BEDFORD FEDERAL SAVINGS BANK	BEDFORD	IN	2	231,656	1,813
765877	28246	SI	HOME SAVINGS BANK	CHANUTE	KS	1	103,594	634
901974	27727	SI	LYONS FEDERAL BANK	LYONS	KS	4	161,534	1,395
864378	30150	SI	CITIZENS FEDERAL SAVINGS BANK	LEAVENWORTH	KS	3	194,251	121
872579	27752	SI	HIBERNIA BANK	NEW ORLEANS	LA	5	273,622	-821
948278	26576	SI	WRENTHAM CO-OPERATIVE BANK	WRENTHAM	MA	2	172,537	-941
157379	26512	SI	METHUEN CO-OPERATIVE BANK	METHUEN	MA	1	136,884	237
508270	27567	SI	GLEN BURNIE MUTUAL SAVINGS BANK	GLEN BURNIE	MD	1	107,403	189
613978	31083	SI	JARRETTSVILLE FEDERAL SAVINGS AND LOAN ASSOCIATION	JARRETTSVILLE	MD	1	153,908	184
