List of Banks in Peer Group -- 103S Stock-owned insured savings banks having assets between $100 million and $300 million

Reporting Period End Date	12/31/2020
Number of Banks in Peer Group	69

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
814074	31127	SI	FIRST FEDERAL BANK, A FSB	TUSCALOOSA	AL	3	148,207	12,192
2921659	35164	SI	CAPITAL BANK AND TRUST COMPANY	IRVINE	CA	1	200,641	51,804
1493319	33103	SI	GATEWAY BANK, F.S.B.	OAKLAND	CA	1	158,467	-1,334
705378	29066	SI	DEL NORTE BANK, A SAVINGS AND LOAN ASSOCIATION	DEL NORTE	CO	2	108,357	1,314
206473	30707	SI	EQUITABLE SAVINGS AND LOAN ASSOCIATION	STERLING	CO	10	164,554	1,310
890603	18223	SI	COLLINSVILLE BANK	COLLINSVILLE	CT	3	186,240	-74
221775	31823	SI	INTERAMERICAN BANK, A FEDERAL SAVINGS BANK	MIAMI	FL	5	214,993	904
381932	16246	SI	COMMERCIAL BANKING COMPANY	VALDOSTA	GA	5	268,840	3,062
1163283	27153	SI	CITIZENS BANK AND TRUST, INC.	TRENTON	GA	3	109,824	987
2992501	35027	SI	CORNERSTONE BANK	ATLANTA	GA	3	218,631	-2,451
364270	30692	SI	BANKPACIFIC, LTD.	HAGATNA	GU	6	165,664	512
346771	28445	SI	FIRST FEDERAL SAVINGS BANK OF CHAMPAIGN-URBANA	CHAMPAIGN	IL	2	191,921	1,399
446877	30864	SI	MCHENRY SAVINGS BANK	MCHENRY	IL	1	248,602	720
775773	27683	SI	NORTH SHORE TRUST AND SAVINGS	WAUKEGAN	IL	3	240,086	65
2140348	55130	SI	ALLIED FIRST BANK, SB	OSWEGO	IL	1	128,848	5,762
820477	29980	SI	MIDLAND FEDERAL SAVINGS AND LOAN ASSOCIATION	BRIDGEVIEW	IL	4	118,242	-628
817477	29121	SI	UNION SAVINGS BANK	FREEPORT	IL	5	170,522	336
250476	29399	SI	GN BANK	CHICAGO	IL	2	109,374	-831
857875	30133	SI	MID-SOUTHERN SAVINGS BANK, F.S.B.	SALEM	IN	3	215,876	1,498
2723376	34748	SI	CLEARPOINT FEDERAL BANK & TRUST	BATESVILLE	IN	1	108,012	1,189
148171	28735	SI	GOLDEN BELT BANK, FSA	HAYS	KS	3	257,241	4,844
741974	29937	SI	FIRST FEDERAL SAVINGS BANK OF KENTUCKY	FRANKFORT	KY	6	245,865	-12,734
794475	29268	SI	EUREKA HOMESTEAD	METAIRIE	LA	1	104,240	151
527178	29679	SI	ANTHEM BANK & TRUST	PLAQUEMINE	LA	5	158,973	834
194570	29577	SI	HERITAGE BANK OF SAINT TAMMANY	COVINGTON	LA	4	138,535	956
541307	27015	SI	ETHIC	BOSTON	MA	1	261,423	-6,900
2914268	35206	SI	FIDELITY PERSONAL TRUST COMPANY, F.S.B.	BOSTON	MA	2	102,921	44,113
204077	28684	SI	CHESAPEAKE BANK OF MARYLAND	PARKVILLE	MD	4	231,528	1,017
284752	1415	SI	NORTHWOODS BANK OF MINNESOTA	PARK RAPIDS	MN	3	127,472	1,765
168357	10568	SI	COMMUNITY DEVELOPMENT BANK FSB	OGEMA	MN	3	187,158	592
3529315	28390	SI	EDWARD JONES TRUST COMPANY	SAINT LOUIS	MO	1	102,174	9,660
943974	31077	SI	FIRST FEDERAL BANK	DUNN	NC	7	196,551	647
900379	27704	SI	WAKE FOREST FEDERAL SAVINGS AND LOAN ASSOCIATION	WAKE FOREST	NC	1	105,980	1,121
148470	30367	SI	1ST BANK OF SEA ISLE CITY	SEA ISLE CITY	NJ	3	255,347	579
644776	29170	SI	UNITED ROOSEVELT SAVINGS BANK	CARTERET	NJ	1	164,432	413
900678	28942	SI	CARTHAGE FEDERAL SAVINGS AND LOAN ASSOCIATION	CARTHAGE	NY	4	265,422	1,685
905673	30976	SI	GOUVERNEUR SAVINGS AND LOAN ASSOCIATION	GOUVERNEUR	NY	2	130,231	-479
276074	29496	SI	SENECA SAVINGS	BALDWINSVILLE	NY	4	226,644	1,039
278872	30439	SI	EAGLE.BANK	CINCINNATI	OH	3	152,679	2,187
210779	29703	SI	PEOPLES FEDERAL SAVINGS AND LOAN ASSOCIATION	SIDNEY	OH	4	119,750	725
80374	29345	SI	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF DELTA	DELTA	OH	6	179,758	231
71073	28349	SI	HOME FEDERAL SAVINGS AND LOAN ASSOCIATION OF NILES OHIO	NILES	OH	1	105,280	350
468673	29695	SI	HOME LOAN SAVINGS BANK, THE	COSHOCTON	OH	7	240,820	3,597
567679	27965	SI	GREENVILLE FEDERAL	GREENVILLE	OH	4	208,472	591
446176	29521	SI	FIDELITY FEDERAL SAVINGS AND LOAN ASSOCIATION OF DELAWARE	DELAWARE	OH	2	113,454	344
815772	28157	SI	CINCINNATUS SAVINGS AND LOAN COMPANY, THE	CHEVIOT	OH	3	101,778	660
820879	29135	SI	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF VAN WERT, OH	VAN WERT	OH	1	120,934	763
66677	28346	SI	CINCINNATI FEDERAL	CINCINNATI	OH	6	232,494	3,406
346379	29705	SI	FIRST FEDERAL COMMUNITY BANK OF BUCYRUS	BUCYRUS	OH	6	203,798	2,313
2729677	34710	SI	NATIONWIDE TRUST COMPANY, FSB	COLUMBUS	OH	1	198,901	31,105
2973386	35388	SI	SEI PRIVATE TRUST COMPANY	OAKS	PA	1	193,525	84,892
164377	28793	SI	SHARON BANK	SPRINGFIELD	PA	6	184,344	-1,215
277277	30431	SI	SSB BANK	PITTSBURGH	PA	2	225,694	1,466
535575	31410	SI	1ST FEDERAL SAVINGS BANK OF SC, INC.	WALTERBORO	SC	2	109,467	927
851172	31900	SI	CITIZENS BUILDING AND LOAN, SSB	GREER	SC	2	147,799	815
884376	31089	SI	PICKENS SAVINGS AND LOAN ASSOCIATION, FEDERAL ASSOCIATION	PICKENS	SC	2	107,231	563
2218443	33922	SI	FRONTIER BANK	SIOUX FALLS	SD	5	240,245	2,830
894272	29089	SI	NEWPORT FEDERAL BANK	NEWPORT	TN	3	226,011	1,213
971070	29208	SI	DALHART FEDERAL SAVINGS & LOAN ASSOCIATION, SSB	DALHART	TX	2	117,785	369
3347911	58082	SI	AUSTIN CAPITAL BANK SSB	AUSTIN	TX	1	194,126	4,390
3597677	58560	SI	PROVIDENCE BANK OF TEXAS, SSB	SOUTHLAKE	TX	2	173,241	953
729178	31905	SI	CYPRESS BANK, SSB	PITTSBURG	TX	4	204,527	1,098
839974	29206	SI	GRAHAM SAVINGS AND LOAN, SSB	GRAHAM	TX	1	142,746	673
675079	31936	SI	FAYETTE SAVINGS BANK, SSB	LA GRANGE	TX	4	242,869	2,805
2643595	34585	SI	PACIFIC CREST SAVINGS BANK	LYNNWOOD	WA	1	245,316	2,478
2756767	35043	SI	SUNSET BANK & SAVINGS	WAUKESHA	WI	2	136,803	678
331076	30422	SI	FIRST FEDERAL BANK OF WISCONSIN	WAUKESHA	WI	4	285,324	2,167
255873	30248	SI	HOME SAVINGS BANK	MADISON	WI	2	175,353	2,525
35879	30313	SI	EAST WISCONSIN SAVINGS BANK	KAUKAUNA	WI	6	254,670	544
